Country,Air Quality Network,Air Quality Network Name,Air Quality Station EoI Code,Air Quality Station Name,Sampling Point Id,Air Pollutant,Air Pollutant Description,Data Aggregation Process Id,Data Aggregation Process,Year,Air Pollution Level,Unit Of Air Pollution Level,Data Coverage,Verification,Air Quality Station Type,Air Quality Station Area,Longitude,Latitude,Altitude,City,City Code,City Population,Source Of Data Flow,Calculation Time,Link to raw data (only E1a/validated data from AQ e-Reporting)
"Italy","NET.IT224A","PIEMONTE - SISTEMA REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA","IT2118A","Mondovì Aragno","SPO.IT2118A_20_GC-PID_2013-12-13_00:00:00","C6H6","Benzene (air)","P1Y","Annual mean / 1 calendar year","2021","0.000","ug/m3","1.75","3","Traffic","Urban","7.8146","44.4019","409.0","","","","E2a/UTD AQ e-Reporting","02/02/2022 03:54:33",""
"Italy","NET.IT224A","PIEMONTE - SISTEMA REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA","IT1878A","Vercelli - CONI","SPO.IT1878A_5012_ICP-MS_2007-02-05_00:00:00","Pb in PM10","Lead in PM10 (aerosol)","P1Y","Annual mean / 1 calendar year","2021","0.007","ug/m3","8.50","2","Background","Suburban","8.4024","45.3189","131.0","","","","E2a/UTD AQ e-Reporting","02/02/2022 03:54:33",""
"Italy","NET.IT123A","PROVINCIA DELLA SPEZIA","IT1886A","PIAZZA SAINT BON - LA SPEZIA","SPO.IT1886A_10_NDIR_2008-01-01_00:00:00","CO","Carbon monoxide (air)","P1Y","Annual mean / 1 calendar year","2021","0.052","mg/m3","72.32","2","Traffic","Urban","9.8158","44.1101","5.0","La Spezia                                                                       ","IT036C1                                           ","93757","E2a/UTD AQ e-Reporting","02/02/2022 03:54:33",""
"Italy","NET.IT271A","ITALGREEN","IT2143A","Monopoli Italgreen","SPO.IT2143A_20_GC-FID_2014-01-01_00:00:00","C6H6","Benzene (air)","P1Y","Annual mean / 1 calendar year","2021","0.067","ug/m3","61.23","3","Traffic","Suburban","17.2842","40.9614","15.0","","","","E2a/UTD AQ e-Reporting","02/02/2022 03:54:33",""
"Italy","NET.IT279A","RETE REGIONALE QUALITA' DELL'ARIA DELLA TOSCANA","IT2154A","LI-PIOMBINO-PARCO-VIII-MARZO","SPO.IT2154A_20_GC-FID_2015-04-01_00:00:00","C6H6","Benzene (air)","P1Y","Annual mean / 1 calendar year","2021","0.081","ug/m3","89.79","3","Background","Urban","10.5242","42.9319","40.0","","","","E2a/UTD AQ e-Reporting","02/02/2022 03:54:33",""
"Italy","NET.IT236A","RETE SIMAGE BRINDISI","IT1704A","brindisi SISRI","SPO.IT1704A_20_GC-FID_2014-01-01_00:00:00","C6H6","Benzene (air)","P1Y","Annual mean / 1 calendar year","2021","0.091","ug/m3","68.77","3","Industrial","Suburban","17.9781","40.6203","10.0","","","","E2a/UTD AQ e-Reporting","02/02/2022 03:54:33",""
"Italy","NET.IT224A","PIEMONTE - SISTEMA REGIONALE DI RILEVAMENTO DELLA QUALITA' DELL'ARIA","IT1878A","Vercelli - CONI","SPO.IT1878A_5014_ICP-MS_2007-02-05_00:00:00","Cd in PM10","Cadmium in PM10 (aerosol)","P1Y","Annual mean / 1 calendar year","2021","0.100","ng/m3","8.50","2","Background","Suburban","8.4024","45.3189","131.0","","","","E2a/UTD AQ e-Reporting","02/02/2022 03:54:33",""
"Italy","NET.IT219A","RETE SIMAGE","IT1609A","Taranto CISI","SPO.IT1609A_20_GC-FID_2005-05-01_00:00:00","C6H6","Benzene (air)","P1Y","Annual mean / 1 calendar year","2021","0.110","ug/m3","73.17","3","Industrial","Suburban","17.2042","40.5211","10.0","","","","E2a/UTD AQ e-Reporting","02/02/2022 03:54:33",""
"Italy","NET.IT247A","PROVINCIA DI BARI","IT1817A","MONOPOLI","SPO.IT1817A_20_GC-FID_2009-07-01_00:00:00","C6H6","Benzene (air)","P1Y","Annual mean / 1 calendar year","2021","0.115","ug/m3","72.93","3","Traffic","Suburban","17.2903","40.9567","10.0","","","","E2a/UTD AQ e-Reporting","02/02/2022 03:54:33",""
"Italy","NET.IT229A","COMUNE DI LECCE","IT1932A","GARIGLIANO","SPO.IT1932A_20_GC-FID_2008-01-01_00:00:00","C6H6","Benzene (air)","P1Y","Annual mean / 1 calendar year","2021","0.121","ug/m3","75.08","3","Traffic","Urban","18.1731","40.3644","58.0","Lecce                                                                           ","IT037C1                                           ","94305","E2a/UTD AQ e-Reporting","02/02/2022 03:54:33",""
"Italy","NET.IT250A","RETE REGIONALE DI RILEVAMENTO DELLA QUALITÀ DELL'ARIA DI ARPA SICILIA","IT1890A","Enna","SPO.IT1890A_20_GC-FID_2008-05-14_00:00:00","C6H6","Benzene (air)","P1Y","Annual mean / 1 calendar year","2021","0.124","ug/m3","35.66","3","Background","Urban","14.2815","37.5641","925.0","","","","E2a/UTD AQ e-Reporting","02/02/2022 03:54:33",""
