City,NoisePollutionVA,NoisePollution,
Torino,119, 13.9,
Vercelli,1, 2.2,
Novara,9, 8.8,
Biella,5, 11.5,
Cuneo,2, 3.6,
Verbania ,27, 89.6,
Asti,18, 24.1,
Alessandria,16, 17.4,
Aosta,5, 14.8,
Imperia,3, 7.2,
Savona,1, 1.7,
Genova,92, 16.3,
La Spezia,3, 3.2,
Varese,2, 2.5,
Como,8, 9.4,
Lecco,22, 46.1,
Sondrio,2, 9.4,
Milano,242, 17.4,
Monza,16, 12.9,
Bergamo,34, 28.2,
Brescia,23, 11.7,
Pavia,3, 4.2,
Lodi,7, 15.6,
Cremona,-, -,
Mantova,5, 10.2,
Bolzano - Bozen,32, 29.7,
Trento,18, 15.0,
Verona,47, 18.2,
Vicenza,14, 12.7,
Belluno,-, -,
Treviso,10, 11.7,
Venezia,45, 17.5,
Padova,23, 11.0,
Rovigo,1, 2.0,
Pordenone,5, 9.7,
Udine,17, 17.1,
Gorizia,5, 14.8,
Trieste,2, 1.0,
Piacenza,8, 7.7,
Parma,15, 7.6,
Reggio nell'Emilia,6, 3.5,
Modena,86, 45.8,
Bologna,71, 18.0,
Ferrara,15, 11.3,
Ravenna,42, 26.7,
Forlì,35, 29.7,
Cesena,5, 5.2,
Rimini,25, 16.7,
Massa,6, 8.9,
Lucca,9, 10.1,
Pistoia,22, 24.4,
Firenze,134, 36.4,
Prato,30, 15.2,
Livorno,9, 5.8,
Pisa,8, 8.9,
Arezzo,8, 8.2,
Siena,6, 11.1,
Grosseto,10, 12.2,
Perugia,5, 3.0,
Terni,7, 6.4,
Pesaro,4, 4.2,
Ancona,15, 15.1,
Macerata,1, 2.4,
Fermo,-, -,
Ascoli Piceno,1, 2.1,
Viterbo,14, 21.2,
Rieti,-, -,
Roma,140, 5.0,
Latina,3, 2.4,
Frosinone,1, 2.2,
L'Aquila,1, 1.4,
Teramo,2, 3.8,
Pescara,23, 19.3,
Chieti,5, 10.1,
Isernia,-, -,
Campobasso,8, 16.7,
Caserta,5, 6.8,
Benevento,1, 1.7,
Napoli,54, 5.8,
Avellino,3, 5.7,
Salerno,10, 7.7,
Foggia,-, -,
Andria,3, 3.1,
Barletta,-, -,
Trani,1, 1.8,
Bari,17, 5.4,
Taranto,3, 1.6,
Brindisi,-, -,
Lecce,5, 5.3,
Potenza,7, 10.6,
Matera,-, -,
Cosenza,-, -,
Crotone,2, 3.3,
Catanzaro,4, 4.6,
Vibo Valentia,2, 6.3,
Reggio di Calabria,18, 10.3,
Trapani,-, -,
Palermo,269, 41.9,
Messina,415, 184.5,
Agrigento,….,…,
Caltanissetta,1, 1.7,
Enna,-, -,
Catania,14, 4.7,
Ragusa,8, 11.1,
Siracusa,1, 0.8,
Sassari,17, 13.7,
Nuoro,1, 2.9,
Oristano,2, 6.5,
Cagliari,24, 16.0,
Carbonia,3, 11.2,
Italia (a) ,2.549, 14.4,
