City,SquareMeters,GreenAreaDensity
Torino,9705200,7.5
Vercelli,1018300,1.3
Novara,1255245,1.2
Biella,15666638,33.6
Cuneo,8159338,6.8
Verbania,3578950,9.5
Asti,25931800,17.1
Alessandria,-,-
Aosta,90000,0.4
Imperia,503528,1.1
Savona,5109172,7.8
Genova,63102195,26.3
La Spezia,12415432,24.2
Varese ,24939529,45.5
Como,7197607,19.4
Lecco,9359742,20.7
Sondrio,461300,2.2
Milano,35323,..
Monza ,7388500,22.3
Bergamo,12648791,31.5
Brescia,34550000,38.2
Pavia,11839039,18.7
Lodi,14700000,35.5
Cremona,19403597,27.5
Mantova ,13558887,21.3
Bolzano - Bozen ,87360,0.2
Trento ,10497872,6.6
Verona,9298558,4.7
Vicenza,1342262,1.7
Belluno ,31557912,21.4
Treviso,5756291,10.4
Venezia,261196224,62.8
Padova,69592,0.1
Rovigo,70000,0.1
Pordenone,-,-
Udine ,8855340,15.5
Gorizia,3152000,7.6
Trieste,28460710,33.4
Piacenza,20933700,17.7
Parma,6013087,2.3
Reggio nell'Emilia ,16419459,7.1
Modena,1472175,0.8
Bologna,37385050,26.5
Ferrara ,12319576,3
Ravenna,189930000,29
Forlì,7238254,3.2
Cesena,4222000,1.7
Rimini,851776,0.6
Massa,31897517,34
Lucca,19456199,10.5
Pistoia,41914000,17.7
Firenze ,11165254,10.9
Prato ,30519200,31.3
Livorno,18709700,17.9
Pisa,79349538,42.9
Arezzo,27256496,7.1
Siena,9245190,7.8
Grosseto,144360410,30.5
Perugia ,71792118,16
Terni,44055667,20.7
Pesaro,26008104,20.5
Ancona ,31652237,25.3
Macerata,-,-
Fermo,-,-
Ascoli Piceno,15025758,9.5
Viterbo,20401185,5
Rieti,39612579,19.2
Roma ,415000000,32.2
Latina,12325217,4.4
Frosinone,6235,..
L'Aquila ,237344967,50.1
Teramo,4539861,3
Pescara ,616109,1.8
Chieti,-,-
Isernia,13640000,19.7
Campobasso,2059222,3.7
Caserta,4728863,8.7
Benevento,-,-
Napoli ,28614242,24.1
Avellino,-,-
Salerno,27112,0
Foggia,19011731,3.7
Andria,145385920,36.1
Barletta,43751047,29.3
Trani,-,-
Bari,2277324,1.9
Taranto,21201228,8.5
Brindisi,35177735,10.6
Lecce,30516500,12.8
Potenza,1503831,0.9
Matera ,98191485,25
Cosenza,-,-
Crotone,25732915,14.1
Catanzaro,-,-
Vibo Valentia,23411,0.1
Reggio di Calabria,41746240,17.5
Trapani,13856015,5.1
Palermo,47179574,29.4
Messina,150931360,70.6
Agrigento,13000000,5.3
Caltanissetta,18731200,4.4
Enna,49074088,13.7
Catania,27504899,15
Ragusa,28884033,6.5
Siracusa,11935701,5.7
Sassari,14381586,2.6
Nuoro,21588400,11.2
Oristano,1994117,2.4
Cagliari,43866808,51.9
Carbonia,-,-
Italia  ,3244295439,16.6
