"anno,N,9,0","regione,C,254","cod_Staz,C,254","CAS,C,254","sostanza,C,254","conc_max,N,33,15","conc_media,N,33,15","X_ETRS89N3,N,33,15","Y_ETRS89N3,N,33,15","SQA_MA,N,33,15","SQA_CMA,N,33,15","misure,N,9,0","m_positive,N,9,0","LOQ,N,33,15","liv_contam,C,254"
2020,Abruzzo,N010IM11,101-21-3,CLORPROFAM,0,0,854110.1789,4672849.8508,0.1,0,3,0,0.025,Non quantificabile
2020,Abruzzo,N010IM11,50-29-3,"DDT, pp",0,0,854110.1789,4672849.8508,0.01,0,3,0,0.003,Non quantificabile
2020,Abruzzo,N010IM11,56-38-2,PARATION-ETILE,0,0,854110.1789,4672849.8508,0.01,0,3,0,0.025,Non quantificabile
2020,Abruzzo,I028CA1,298-00-0,PARATION-METILE,0,0,868304.3452,4742222.6186,0.01,0,1,0,0.025,Non quantificabile
2020,Abruzzo,I028CA1,298-02-2,FORATE,0,0,868304.3452,4742222.6186,0.1,0,1,0,0.025,Non quantificabile
2020,Abruzzo,N010IM6,2921-88-2,CLORPIRIFOS,0,0,855029.9918,4664885.6072,0.03,0.1,3,0,0.025,Non quantificabile
2020,Abruzzo,N010RF1,101-21-3,CLORPROFAM,0,0,862724.827,4661906.2716,0.1,0,3,0,0.025,Non quantificabile
2020,Abruzzo,R1303FI1,23950-58-5,PROPIZAMIDE,0,0,891423.8856,4737284.3956,0.1,0,1,0,0.025,Non quantificabile
2020,Abruzzo,R1305PM1,RAGGR_2,DDT totale,0,0,897238.014,4725054.0328,0.025,0,4,0,0.0018,Non quantificabile
2020,Abruzzo,I028CA1,1031-07-8,ENDOSULFAN-SOLFATO,0,0,868304.3452,4742222.6186,0.1,0,1,0,0.0013,Non quantificabile
2020,Abruzzo,I028CA1,1134-23-2,CICLOATO,0,0,868304.3452,4742222.6186,0.1,0,1,0,0.025,Non quantificabile
2020,Abruzzo,R1302SL3,834-12-8,AMETRINA,0,0,881249.6598,4747394.659,0.1,0,2,0,0.0025,Non quantificabile
2020,Abruzzo,R1303VZ1A,1912-24-9,ATRAZINA,0,0,879399.5057,4733124.0251,0.6,2,2,0,0.025,Non quantificabile
2020,Abruzzo,R1307SA36BIS,RAGGR_1,ANTIPARASSITARI CICLODIENE,0,0,898549.8139,4661204.0468,0.01,0,4,0,0.001175,Non quantificabile
2020,Abruzzo,R1315CR1,RAGGR_3,TERBUTILAZINA (incluso metabolita),0,0,917969.3546,4725867.088,0.5,0,2,0,0.015,Non quantificabile
2020,Abruzzo,R1315CR1,RAGGR_2,DDT totale,0,0,917969.3546,4725867.088,0.025,0,4,0,0.0018,Non quantificabile
2020,Abruzzo,R1315CR1,RAGGR_1,ANTIPARASSITARI CICLODIENE,0,0,917969.3546,4725867.088,0.01,0,4,0,0.001175,Non quantificabile
2020,Abruzzo,R1319CL1,RAGGR_1,ANTIPARASSITARI CICLODIENE,0,0,914579.1769,4729835.19,0.01,0,4,0,0.001175,Non quantificabile
2020,Abruzzo,R1319CL1,RAGGR_3,TERBUTILAZINA (incluso metabolita),0,0,914579.1769,4729835.19,0.5,0,2,0,0.015,Non quantificabile
2020,Abruzzo,R1319CL1,RAGGR_2,DDT totale,0,0,914579.1769,4729835.19,0.025,0,4,0,0.0018,Non quantificabile
2020,Abruzzo,N010IM11,53-19-0,"DDD, op",0,0,854110.1789,4672849.8508,0.1,0,3,0,0.002,Non quantificabile
2020,Abruzzo,R1304VM5BIS,330-55-2,LINURON,0,0,886312.5958,4726820.3674,0.5,0,2,0,0.025,Non quantificabile
2020,Abruzzo,N005GV15,88671-89-0,MICLOBUTANIL,0,0,883930.0992,4662572.5815,0.1,0,3,0,0.025,Non quantificabile
2020,Abruzzo,N010IM11,3424-82-6,"DDE, op",0,0,854110.1789,4672849.8508,0.1,0,3,0,0.0019,Non quantificabile
2020,Abruzzo,N010IM11,40487-42-1,PENDIMETALIN,0,0,854110.1789,4672849.8508,0.1,0,3,0,0.025,Non quantificabile
2020,Abruzzo,N010IM11,51218-45-2,METOLACLOR,0,0,854110.1789,4672849.8508,0.1,0,3,0,0.025,Non quantificabile
2020,Abruzzo,N010IM11,55219-65-3,TRIADIMENOL,0,0,854110.1789,4672849.8508,0.1,0,3,0,0.05,Non quantificabile
2020,Abruzzo,N010IM11,5598-13-0,CLORPIRIFOS-METILE,0,0,854110.1789,4672849.8508,0.1,0,3,0,0.025,Non quantificabile
2020,Abruzzo,N010IM11,57837-19-1,METALAXIL,0,0,854110.1789,4672849.8508,0.1,0,3,0,0.025,Non quantificabile
2020,Abruzzo,N010IM6,23950-58-5,PROPIZAMIDE,0,0,855029.9918,4664885.6072,0.1,0,3,0,0.025,Non quantificabile
2020,Abruzzo,N010IM6,298-00-0,PARATION-METILE,0,0,855029.9918,4664885.6072,0.01,0,3,0,0.025,Non quantificabile
2020,Abruzzo,N010IM6,298-02-2,FORATE,0,0,855029.9918,4664885.6072,0.1,0,3,0,0.025,Non quantificabile
2020,Abruzzo,N010IM6,3060-89-7,METOBROMURON,0,0,855029.9918,4664885.6072,0.1,0,3,0,0.025,Non quantificabile
2020,Abruzzo,N010IM6,834-12-8,AMETRINA,0,0,855029.9918,4664885.6072,0.1,0,3,0,0.0025,Non quantificabile
2020,Abruzzo,I028CA1,3060-89-7,METOBROMURON,0,0,868304.3452,4742222.6186,0.1,0,1,0,0.025,Non quantificabile
2020,Abruzzo,I028CA1,319-84-6,ESACLOROCICLOESANO alfa,0,0,868304.3452,4742222.6186,0.02,0.04,1,0,0.0008,Non quantificabile
