"anno,N,9,0","regione,C,254","cod_Staz,C,254","CAS,C,254","sostanza,C,254","conc_max,N,33,15","conc_media,N,33,15","X_ETRS89N3,N,33,15","Y_ETRS89N3,N,33,15","SQA_MA,N,33,15","SQA_CMA,N,33,15","misure,N,9,0","m_positive,N,9,0","LOQ,N,33,15","liv_contam,C,254"
2020,Basilicata,IT17-NO-P07-L,161050-58-4,METOSSIFENOZIDE,0,0,1080700.3036,4460487.3739,0.1,0,4,0,0.0001,Non quantificabile
2020,Basilicata,IT017-BR-P02-F,188425-85-6,BOSCALID,0.0012,0.001,1152851.9975,4517331.0301,0.1,0,2,2,0,Non quantificabile
2020,Basilicata,IT017-BS04,153719-23-4,TIAMETOXAM,0,0,1090915.394,4508468.8887,0.1,0,1,0,0.0009,Non quantificabile
2020,Basilicata,IT017-BS-P11-L,7786-34-7,MEVINPHOS,0,0,1091213.7757,4518611.1342,0.01,0,3,0,0.005,Non quantificabile
2020,Basilicata,IT017-OF-P01-F,122-34-9,SIMAZINA,0,0,1066344.9048,4561889.8789,1,4,2,0,0.0005,Non quantificabile
2020,Basilicata,IT017-SI02,28159-98-0,CIBUTRINA,0,0,1151686.8717,4474134.8845,0.0025,0.016,2,0,0.0005,Non quantificabile
2020,Basilicata,IT17-NO-P09-L,135410-20-7,ACETAMIPRID,0,0,1082644.1754,4466323.1547,0.1,0,2,0,0.005,Non quantificabile
2020,Basilicata,IT017-CA-P04-F,RAGGR_2,DDT totale,0,0,1124823.8387,4500064.2759,0.025,0,4,0,0.0005,Non quantificabile
2020,Basilicata,IT017-NO01,121552-61-2,CIPRODINIL,0,0,1078583.4452,4442941.594,0.1,0,2,0,0.0001,Non quantificabile
2020,Basilicata,IT017-OFRR01,153719-23-4,TIAMETOXAM,0,0,1068743.1662,4570218.7615,0.1,0,2,0,0.0009,Non quantificabile
2020,Basilicata,IT017-NO01,112410-23-8,TEBUFENOZIDE,0,0,1078583.4452,4442941.594,0.1,0,2,0,0.001,Non quantificabile
