"anno,N,9,0","regione,C,254","cod_Staz,C,254","CAS,C,254","sostanza,C,254","conc_max,N,33,15","conc_media,N,33,15","X_ETRS89N3,N,33,15","Y_ETRS89N3,N,33,15","SQA_MA,N,33,15","SQA_CMA,N,33,15","misure,N,9,0","m_positive,N,9,0","LOQ,N,33,15","liv_contam,C,254"
2020,Provincia Autonoma di Bolzano/Bozen,11404,88671-89-0,MICLOBUTANIL,0,0,754978.78,5180970.0199,0.1,0,11,0,0.01,Non quantificabile
2020,Provincia Autonoma di Bolzano/Bozen,11404,907204-31-3,FLUXAPYROXAD,0,0,754978.78,5180970.0199,0.1,0,11,0,0.01,Non quantificabile
2020,Provincia Autonoma di Bolzano/Bozen,11404,935545-74-7,SPINETORAM,0,0,754978.78,5180970.0199,0.1,0,11,0,0.1,Non quantificabile
2020,Provincia Autonoma di Bolzano/Bozen,11404,93-65-2,MECOPROP,0,0,754978.78,5180970.0199,0.5,0,11,0,0.1,Non quantificabile
2020,Provincia Autonoma di Bolzano/Bozen,12022,173584-44-6,INDOXACARB,0,0,674146,5138697.9999,0.1,0,12,0,0.1,Non quantificabile
2020,Provincia Autonoma di Bolzano/Bozen,12022,23950-58-5,PROPIZAMIDE,0,0,674146,5138697.9999,0.1,0,12,0,0.01,Non quantificabile
2020,Provincia Autonoma di Bolzano/Bozen,12022,2439-10-3,DODINA,0,0,674146,5138697.9999,0.1,0,12,0,0.1,Non quantificabile
2020,Provincia Autonoma di Bolzano/Bozen,12022,24579-73-5,PROPAMOCARB,0,0,674146,5138697.9999,0.1,0,12,0,0.1,Non quantificabile
2020,Provincia Autonoma di Bolzano/Bozen,12022,25057-89-0,BENTAZONE,0,0,674146,5138697.9999,0.5,0,12,0,0.1,Non quantificabile
2020,Provincia Autonoma di Bolzano/Bozen,12022,2642-71-9,AZINFOS-ETILE,0,0,674146,5138697.9999,0.01,0,12,0,0.0025,Non quantificabile
2020,Provincia Autonoma di Bolzano/Bozen,12022,42576-02-3,BIFENOX,0,0,674146,5138697.9999,0.012,0.04,12,0,0.01,Non quantificabile
