"anno,N,9,0","regione,C,254","cod_Staz,C,254","CAS,C,254","sostanza,C,254","conc_max,N,33,15","conc_media,N,33,15","X_ETRS89N3,N,33,15","Y_ETRS89N3,N,33,15","SQA_MA,N,33,15","SQA_CMA,N,33,15","misure,N,9,0","m_positive,N,9,0","LOQ,N,33,15","liv_contam,C,254"
2020,Emilia Romagna,06003530,34256-82-1,ACETOCLOR,0,0,697292,4931972.9999,0.1,0,6,0,0.02,Non quantificabile
2020,Emilia Romagna,22000200,60-51-5,DIMETOATO,0,0,792316,4868431.9999,0.5,0,6,0,0.01,Non quantificabile
2020,Emilia Romagna,19000200,140923-17-7,IPROVALICARB,0,0,773103,4874083.9999,0.1,0,6,0,0.01,Non quantificabile
2020,Emilia Romagna,19000200,141112-29-0,ISOXAFLUTOLE,0,0,773103,4874083.9999,0.1,0,6,0,0.02,Non quantificabile
2020,Emilia Romagna,01000400,2303-17-5,TRIALLATE,0,0,608421,4980365.9999,0.1,0,9,0,0.01,Non quantificabile
2020,Emilia Romagna,01000700,2310-17-0,FOSALONE,0,0,705459,4973758.9999,0.1,0,9,0,0.01,Non quantificabile
2020,Emilia Romagna,01010100,66246-88-6,PENCONAZOLO,0,0,530635,4990125.9999,0.1,0,3,0,0.01,Non quantificabile
2020,Emilia Romagna,01050200,77182-82-2,GLUFOSINATE-AMMONIO,0,0,522717,4972392.9999,0.1,0,15,0,0.03,Non quantificabile
2020,Emilia Romagna,01090700,143390-89-0,KRESOXIM-METILE,0,0,552703,4991192.9999,0.1,0,5,0,0.01,Non quantificabile
2020,Emilia Romagna,01090700,34256-82-1,ACETOCLOR,0,0,552703,4991192.9999,0.1,0,5,0,0.02,Non quantificabile
2020,Emilia Romagna,01120200,111988-49-9,TIACLOPRID,0,0,568990,4984138.9999,0.1,0,6,0,0.01,Non quantificabile
2020,Emilia Romagna,01120350,139-40-2,PROPAZINA,0,0,563256,4980322.9999,0.1,0,6,0,0.01,Non quantificabile
2020,Emilia Romagna,01150950,142459-58-3,FLUFENACET,0,0,570764,4955219.9999,0.1,0,6,0,0.01,Non quantificabile
2020,Emilia Romagna,01180800,2303-17-5,TRIALLATE,0,0,615915,4972842.9999,0.1,0,8,0,0.01,Non quantificabile
2020,Emilia Romagna,01190600,2310-17-0,FOSALONE,0,0,630419,4964442.9999,0.1,0,6,0,0.01,Non quantificabile
2020,Emilia Romagna,01221230,2032-65-7,METIOCARB,0,0,656140,4940851.9999,0.1,0,5,0,0.01,Non quantificabile
2020,Emilia Romagna,05001800,83055-99-6,BENSULFURON-METILE,0,0,745464,4954041.9999,0.1,0,7,0,0.01,Non quantificabile
2020,Emilia Romagna,06002350,139-40-2,PROPAZINA,0,0,666263,4929870.9999,0.1,0,6,0,0.01,Non quantificabile
2020,Emilia Romagna,06002700,5598-13-0,CLORPIRIFOS-METILE,0,0,700860,4954820.9999,0.1,0,6,0,0.01,Non quantificabile
2020,Emilia Romagna,06002800,1918-16-7,PROPACLOR,0,0,708068,4949977.9999,0.1,0,6,0,0.01,Non quantificabile
2020,Emilia Romagna,06003000,138261-41-3,IMIDACLOPRID,0.016,0.012,723858,4943977.9999,0.1,0,6,6,0,Non quantificabile
2020,Emilia Romagna,06004650,153719-23-4,TIAMETOXAM,0,0,730702,4935212.9999,0.1,0,6,0,0.01,Non quantificabile
2020,Emilia Romagna,06005100,24579-73-5,PROPAMOCARB,0,0,720379,4905147.9999,0.1,0,6,0,0.01,Non quantificabile
2020,Emilia Romagna,06005200,470-90-6,CLORFENVINFOS,0,0,722017,4908313.9999,0.1,0.3,6,0,0.01,Non quantificabile
2020,Emilia Romagna,07000200,131860-33-8,AZOSSISTROBINA,0.051,0.0165,743239,4936958.9999,0.1,0,6,4,0.01,Non quantificabile
2020,Emilia Romagna,07000250,140923-17-7,IPROVALICARB,0,0,746346,4936494.9999,0.1,0,6,0,0.01,Non quantificabile
2020,Emilia Romagna,09000100,41394-05-2,METAMITRON,0,0,758466,4928053.9999,0.1,0,6,0,0.01,Non quantificabile
2020,Emilia Romagna,11001700,374726-62-2,MANDIPROPAMID,0,0,748153,4909641.9999,0.1,0,6,0,0.01,Non quantificabile
2020,Emilia Romagna,12000100,74070-46-5,ACLONIFEN,0,0,754855,4904613.9999,0.12,0.12,6,0,0.02,Non quantificabile
2020,Emilia Romagna,12000170,56-38-2,PARATION-ETILE,0,0,763587,4914995.9999,0.01,0,6,0,0.01,Non quantificabile
2020,Emilia Romagna,19000150,131983-72-7,TRITICONAZOLO,0,0,772748,4873058.9999,0.1,0,6,0,0.01,Non quantificabile
2020,Emilia Romagna,19000150,2921-88-2,CLORPIRIFOS,0,0,772748,4873058.9999,0.03,0.1,6,0,0.01,Non quantificabile
2020,Emilia Romagna,19000300,67747-09-5,PROCLORAZ,0,0,776671,4882829.9999,0.1,0,6,0,0.01,Non quantificabile
2020,Emilia Romagna,19000450,239110-15-7,FLUOPICOLIDE,0.015,0.00833333,783622,4877591.9999,0.1,0,6,3,0.01,Non quantificabile
2020,Emilia Romagna,19000450,135410-20-7,ACETAMIPRID,0.023,0.0095,783622,4877591.9999,0.1,0,6,2,0.01,Non quantificabile
2020,Emilia Romagna,19000450,131860-33-8,AZOSSISTROBINA,0.022,0.00866667,783622,4877591.9999,0.1,0,6,2,0.01,Non quantificabile
2020,Emilia Romagna,19000500,111988-49-9,TIACLOPRID,0,0,784013,4884739.9999,0.1,0,6,0,0.01,Non quantificabile
2020,Emilia Romagna,19000500,112281-77-3,TETRACONAZOLO,0,0,784013,4884739.9999,0.1,0,6,0,0.01,Non quantificabile
2020,Emilia Romagna,19000500,112410-23-8,TEBUFENOZIDE,0,0,784013,4884739.9999,0.1,0,6,0,0.01,Non quantificabile
2020,Emilia Romagna,19000500,114369-43-6,FENBUCONAZOLO,0,0,784013,4884739.9999,0.1,0,6,0,0.01,Non quantificabile
2020,Emilia Romagna,19000500,119446-68-3,DIFENOCONAZOLO,0,0,784013,4884739.9999,0.1,0,6,0,0.05,Non quantificabile
2020,Emilia Romagna,19000500,120-36-5,DICLORPROP,0,0,784013,4884739.9999,0.1,0,6,0,0.05,Non quantificabile
2020,Emilia Romagna,19000500,121552-61-2,CIPRODINIL,0,0,784013,4884739.9999,0.1,0,6,0,0.02,Non quantificabile
2020,Emilia Romagna,19000600,126833-17-8,FENHEXAMID,0,0,784422,4885203.9999,0.1,0,6,0,0.01,Non quantificabile
2020,Emilia Romagna,19000600,131341-86-1,FLUDIOXONIL,0,0,784422,4885203.9999,0.1,0,6,0,0.01,Non quantificabile
2020,Emilia Romagna,19000600,131860-33-8,AZOSSISTROBINA,0,0,784422,4885203.9999,0.1,0,6,0,0.01,Non quantificabile
2020,Emilia Romagna,19000600,131983-72-7,TRITICONAZOLO,0,0,784422,4885203.9999,0.1,0,6,0,0.01,Non quantificabile
2020,Emilia Romagna,20000200,886-50-0,TERBUTRINA,0.11,0.02666667,791019,4879623.9999,0.065,0.34,6,1,0.02,Entro i limiti
