"anno,N,9,0","regione,C,254","cod_Staz,C,254","CAS,C,254","sostanza,C,254","conc_max,N,33,15","conc_media,N,33,15","X_ETRS89N3,N,33,15","Y_ETRS89N3,N,33,15","SQA_MA,N,33,15","SQA_CMA,N,33,15","misure,N,9,0","m_positive,N,9,0","LOQ,N,33,15","liv_contam,C,254"
2020,Friuli Venezia Giulia,ITA06TEU201,RAGGR_3,TERBUTILAZINA (incluso metabolita),0,0,837184.2585,5070637.4286,0.2,0,8,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,94-74-6,MCPA,0,0,857185.3471,5099205.0782,0.5,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO03,1698-60-8,CLORIDAZON,0,0,853586.0459,5093717.5288,0.1,0,5,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO14,60-51-5,DIMETOATO,0,0,850218.5206,5091669.8317,0.5,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,ITA06TME401,3383-96-8,TEMEFOS,0,0,818010.5253,5069584.824,0.1,0,4,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,ITA06TPO401,188425-85-6,BOSCALID,0,0,821404.3236,5071793.9314,0.1,0,4,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,ITA06TPO501,122-34-9,SIMAZINA,0,0,819796.9003,5069321.7524,1,4,4,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,39148-24-8,FOSETIL-ALLUMINIO,0.02,0.00714286,857185.3471,5099205.0782,0.1,0,7,1,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,111991-09-4,NICOSULFURON,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,118134-30-8,SPIROXAMINA,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,111988-49-9,TIACLOPRID,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,119-12-0,PIRIDAFENTION,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,121552-61-2,CIPRODINIL,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,121-75-5,MALATION,0,0,857185.3471,5099205.0782,0.01,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,122-34-9,SIMAZINA,0,0,857185.3471,5099205.0782,1,4,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,124495-18-7,CHINOSSIFEN,0,0,857185.3471,5099205.0782,0.15,2.7,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,ITA06FM401,330-55-2,LINURON,0,0,833328.8912,5071083.2467,0.2,0,4,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,ITA06TEU301,124495-18-7,CHINOSSIFEN,0,0,831097.0967,5073127.1208,0.015,0.54,4,0,0.005,Non quantificabile
2020,Friuli Venezia Giulia,ITA06TME301,42576-02-3,BIFENOX,0,0,820548.5871,5073964.6229,0.0012,0.004,4,0,0.0001,Non quantificabile
2020,Friuli Venezia Giulia,ITA06TPO301,RAGGR_3,TERBUTILAZINA (incluso metabolita),0.01,0.0025,824538.9149,5073323.3114,0.2,0,8,1,0.01,Non quantificabile
2020,Friuli Venezia Giulia,ITA06TPO301,RAGGR_1,ANTIPARASSITARI CICLODIENE,0,0,824538.9149,5073323.3114,0.005,0,16,0,0.0001,Non quantificabile
2020,Friuli Venezia Giulia,ITA06TPO301,RAGGR_4,Eptacloro ed eptacloro epossido,0,0,824538.9149,5073323.3114,0.00000001,0,8,0,0.0001,Non quantificabile
2020,Friuli Venezia Giulia,ITA06TPO401,RAGGR_2,DDT totale,0.0025,0.002925,821404.3236,5071793.9314,0.025,0,16,13,0.0001,Non quantificabile
2020,Friuli Venezia Giulia,ITA06TPO401,RAGGR_3,TERBUTILAZINA (incluso metabolita),0.01,0.0025,821404.3236,5071793.9314,0.2,0,8,1,0.01,Non quantificabile
2020,Friuli Venezia Giulia,ITA06TPO401,RAGGR_4,Eptacloro ed eptacloro epossido,0,0,821404.3236,5071793.9314,0.00000001,0,8,0,0.0001,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,126833-17-8,FENHEXAMID,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,131341-86-1,FLUDIOXONIL,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,135410-20-7,ACETAMIPRID,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,138261-41-3,IMIDACLOPRID,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,139-40-2,PROPAZINA,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,140923-17-7,IPROVALICARB,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,142459-58-3,FLUFENACET,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,143390-89-0,KRESOXIM-METILE,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,150-68-5,MONURON,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,15090-23-0,MPPA,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,153719-23-4,TIAMETOXAM,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,15972-60-8,ALACLOR,0,0,857185.3471,5099205.0782,0.3,0.7,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,1698-60-8,CLORIDAZON,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,171118-09-5,METOLACLOR-ESA,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,1746-81-2,MONOLINURON,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,188425-85-6,BOSCALID,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,1912-24-9,ATRAZINA,0,0,857185.3471,5099205.0782,0.6,2,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,2032-65-7,METIOCARB,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,21087-64-9,METRIBUZIN,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,210880-92-5,CLOTHIANIDIN,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,2163-68-0,2-IDROSSIATRAZINA,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,2164-08-1,LENACIL,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,21725-46-2,CIANAZINA,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,22248-79-9,TETRACLORVINFOS,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,2303-17-5,TRIALLATE,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,23505-41-1,PIRIMIFOS-ETILE,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,23560-59-0,EPTENOFOS,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,23564-05-8,TIOPHANATE-METHYL,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,239110-15-7,FLUOPICOLIDE,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,23950-58-5,PROPIZAMIDE,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,25057-89-0,BENTAZONE,0,0,857185.3471,5099205.0782,0.5,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,2642-71-9,AZINFOS-ETILE,0,0,857185.3471,5099205.0782,0.01,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,28159-98-0,CIBUTRINA,0,0,857185.3471,5099205.0782,0.0025,0.016,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,2921-88-2,CLORPIRIFOS,0,0,857185.3471,5099205.0782,0.03,0.1,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,29232-93-7,PIRIMIFOS-METILE,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,301-12-2,OSSIDEMETON-METILE,0,0,857185.3471,5099205.0782,0.5,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,314-40-9,BROMACILE,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,330-54-1,DIURON,0,0,857185.3471,5099205.0782,0.2,1.8,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,330-55-2,LINURON,0,0,857185.3471,5099205.0782,0.5,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,333-41-5,DIAZINON,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,3383-96-8,TEMEFOS,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,3397-62-4,ATRAZINA DESETIL DESISOPROPIL,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,1113-02-6,OMETOATO,0,0,857185.3471,5099205.0782,0.5,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,34123-59-6,ISOPROTURON,0,0,857185.3471,5099205.0782,0.3,1,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,34256-82-1,ACETOCLOR,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,40487-42-1,PENDIMETALIN,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,470-90-6,CLORFENVINFOS,0,0,857185.3471,5099205.0782,0.1,0.3,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,51218-45-2,METOLACLOR,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,51276-47-2,GLUFOSINATE,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,53112-28-0,PIRIMETANIL,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,55-38-9,FENTION,0,0,857185.3471,5099205.0782,0.01,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,563-12-2,ETION,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,57837-19-1,METALAXIL,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,1066-51-9,AMPA,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.025,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,57966-95-7,CIMOXANIL,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,60-51-5,DIMETOATO,0,0,857185.3471,5099205.0782,0.5,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,6190-65-4,ATRAZINA DESETIL,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,110488-70-5,DIMETOMORF,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,66246-88-6,PENCONAZOLO,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,10605-21-7,CARBENDAZIM,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,66753-07-9,2-IDROSSITERBUTILAZINA,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,69806-50-4,FLUAZIFOP-BUTYL,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,107534-96-3,TEBUCONAZOLO,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,7286-69-3,SEBUTILAZINA,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,10265-92-6,METAMIDOFOS,0,0,857185.3471,5099205.0782,0.5,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,7786-34-7,MEVINPHOS,0,0,857185.3471,5099205.0782,0.01,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,1071-83-6,GLIFOSATE,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,86-50-0,AZINFOS-METILE,0,0,857185.3471,5099205.0782,0.01,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,886-50-0,TERBUTRINA,0,0,857185.3471,5099205.0782,0.065,0.34,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,93-65-2,MECOPROP,0,0,857185.3471,5099205.0782,0.5,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,93-76-5,"2,4,5-TRICLOROFENOSSIACETICO ACIDO",0,0,857185.3471,5099205.0782,0.5,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,94-75-7,"2,4-DICLOROFENOSSIACETICO ACIDO",0,0,857185.3471,5099205.0782,0.5,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,950-37-8,METIDATION,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,106700-29-2,PETOXAMIDE,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,114311-32-9,IMAZAMOX,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO01,1007-28-9,ATRAZINA DESISOPROPIL,0,0,857185.3471,5099205.0782,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO03,1066-51-9,AMPA,0.03,0.015,853586.0459,5093717.5288,0.1,0,7,1,0.025,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO03,39148-24-8,FOSETIL-ALLUMINIO,0.02,0.00714286,853586.0459,5093717.5288,0.1,0,7,1,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO03,10605-21-7,CARBENDAZIM,0,0,853586.0459,5093717.5288,0.1,0,5,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO03,1071-83-6,GLIFOSATE,0,0,853586.0459,5093717.5288,0.1,0,7,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO03,107534-96-3,TEBUCONAZOLO,0,0,853586.0459,5093717.5288,0.1,0,5,0,0.01,Non quantificabile
2020,Friuli Venezia Giulia,IT06GO03,110488-70-5,DIMETOMORF,0,0,853586.0459,5093717.5288,0.1,0,5,0,0.01,Non quantificabile
