"anno,N,9,0","regione,C,254","cod_Staz,C,254","CAS,C,254","sostanza,C,254","conc_max,N,33,15","conc_media,N,33,15","X_ETRS89N3,N,33,15","Y_ETRS89N3,N,33,15","SQA_MA,N,33,15","SQA_CMA,N,33,15","misure,N,9,0","m_positive,N,9,0","LOQ,N,33,15","liv_contam,C,254"
2020,Lazio,F1.08,SMM_12,Eptacloro ed eptacloro epossido,0.00005,0.00001192,889848.0925,4599308.0565,0.0000002,0.0003,6,3,0.000001,Entro i limiti
2020,Lazio,F1.08,52315-07-8,CIPERMETRINA,0.00005,0.00002467,889848.0925,4599308.0565,0.00008,0.0006,6,2,0.000024,Entro i limiti
2020,Lazio,F1.08,23950-58-5,PROPIZAMIDE,0.0266,0,889848.0925,4599308.0565,0.1,0,12,1,0.01,Non quantificabile
2020,Lazio,F1.08,28159-98-0,CIBUTRINA,0.0012,0,889848.0925,4599308.0565,0.0025,0.016,12,1,0.00075,Non quantificabile
2020,Lazio,F1.08,24579-73-5,PROPAMOCARB,0.02,0,889848.0925,4599308.0565,0.1,0,12,1,0.01,Non quantificabile
2020,Lazio,F1.08,608-73-1,ESACLOROCICLOESANO,0.009,0,889848.0925,4599308.0565,0.02,0.04,12,1,0.006,Non quantificabile
2020,Lazio,F1.08,138261-41-3,IMIDACLOPRID,0.01,0,889848.0925,4599308.0565,0.1,0,12,1,0.01,Non quantificabile
2020,Lazio,F1.08,87392-12-9,S-METOLACLOR,0.01,0,889848.0925,4599308.0565,0.1,0,12,1,0.01,Non quantificabile
2020,Lazio,F1.73,41394-05-2,METAMITRON,0,0,876873.785,4610092.6243,0.1,0,6,0,0.01,Non quantificabile
2020,Lazio,F3.48,121-75-5,MALATION,0,0,807621.2226,4712572.7254,0.01,0,11,0,0.01,Non quantificabile
2020,Lazio,F3.48,2164-08-1,LENACIL,0,0,807621.2226,4712572.7254,0.1,0,11,0,0.01,Non quantificabile
2020,Lazio,F3.76,94-74-6,MCPA,0,0,799502.842,4682252.8671,0.5,0,6,0,0.01,Non quantificabile
2020,Lazio,F4.06,15972-60-8,ALACLOR,0,0,788023.4817,4645572.3248,0.3,0.7,9,0,0.09,Non quantificabile
2020,Lazio,F4.25,94-74-6,MCPA,0,0,793383.2791,4610501.9052,0.5,0,5,0,0.01,Non quantificabile
2020,Lazio,F5.27,60-51-5,DIMETOATO,0,0,785038.3956,4694465.1106,0.5,0,10,0,0.01,Non quantificabile
2020,Lazio,L3.39,94-74-6,MCPA,0,0,808343.001,4713074.9299,0.5,0,5,0,0.01,Non quantificabile
2020,Lazio,T2.24,107534-96-3,TEBUCONAZOLO,0,0,868569.1961,4579031.4217,0.1,0,4,0,0.01,Non quantificabile
2020,Lazio,T2.24,330-55-2,LINURON,0,0,868569.1961,4579031.4217,0.2,0,4,0,0.01,Non quantificabile
2020,Lazio,L5.34,RAGGR_3,TERBUTILAZINA (incluso metabolita),0,0,761743.6045,4689831.3143,0.5,0,10,0,0.01,Non quantificabile
2020,Lazio,L5.70,RAGGR_3,TERBUTILAZINA (incluso metabolita),0,0,727179.3515,4721400.5046,0.5,0,10,0,0.01,Non quantificabile
2020,Lazio,T2.21,RAGGR_3,TERBUTILAZINA (incluso metabolita),0,0,832564.4814,4585279.9612,0.2,0,8,0,0.01,Non quantificabile
2020,Lazio,T2.22,RAGGR_3,TERBUTILAZINA (incluso metabolita),0,0,838032.0491,4576738.2134,0.2,0,8,0,0.01,Non quantificabile
2020,Lazio,T2.23,RAGGR_3,TERBUTILAZINA (incluso metabolita),0,0,862327.8468,4584169.1351,0.2,0,8,0,0.01,Non quantificabile
2020,Lazio,T2.24,RAGGR_3,TERBUTILAZINA (incluso metabolita),0,0,868569.1961,4579031.4217,0.2,0,8,0,0.01,Non quantificabile
