"anno,N,9,0","regione,C,254","cod_Staz,C,254","CAS,C,254","sostanza,C,254","conc_max,N,33,15","conc_media,N,33,15","X_ETRS89N3,N,33,15","Y_ETRS89N3,N,33,15","SQA_MA,N,33,15","SQA_CMA,N,33,15","misure,N,9,0","m_positive,N,9,0","LOQ,N,33,15","liv_contam,C,254"
2020,Liguria,IT07CDCDFOCE,139968-49-3,METAFLUMIZONE,0,0,437789,4880233.9999,0.1,0,2,0,0.01,Non quantificabile
2020,Liguria,IT07CDCDFOCE,1582-09-8,TRIFLURALIN,0,0,437789,4880233.9999,0.03,0,5,0,0.03,Non quantificabile
2020,Liguria,IT07AGAG04,55-38-9,FENTION,0,0,408278,4854293.9999,0.01,0,5,0,0.01,Non quantificabile
2020,Liguria,IT07MAMA02,60207-90-1,PROPICONAZOLO,0,0,571020,4889682.9999,0.1,0,1,0,0.01,Non quantificabile
2020,Liguria,IT07MAMA02,330-55-2,LINURON,0,0,571020,4889682.9999,0.5,0,5,0,0.01,Non quantificabile
2020,Liguria,IT07AGAG04,1071-83-6,GLIFOSATE,0,0,408278,4854293.9999,0.1,0,5,0,0.026,Non quantificabile
2020,Liguria,IT07AGAG04,94-74-6,MCPA,0,0,408278,4854293.9999,0.5,0,5,0,0.01,Non quantificabile
2020,Liguria,IT07CDCDFOCE,122-34-9,SIMAZINA,0,0,437789,4880233.9999,1,4,6,0,0.01166667,Non quantificabile
2020,Liguria,IT07AGAG04,60-51-5,DIMETOATO,0,0,408278,4854293.9999,0.5,0,5,0,0.01,Non quantificabile
2020,Liguria,IT07AGAG04,1113-02-6,OMETOATO,0,0,408278,4854293.9999,0.5,0,5,0,0.01,Non quantificabile
2020,Liguria,IT07AGAG04,5915-41-3,TERBUTILAZINA,0,0,408278,4854293.9999,0.5,0,5,0,0.03,Non quantificabile
2020,Liguria,IT07AGAG04,58-89-9,ESACLOROCICLOESANO gamma,0,0,408278,4854293.9999,0.02,0.04,5,0,0.03,Non quantificabile
2020,Liguria,IT07AGAG04,93-76-5,"2,4,5-TRICLOROFENOSSIACETICO ACIDO",0,0,408278,4854293.9999,0.5,0,5,0,0.01,Non quantificabile
2020,Liguria,IT07AGAG04,1066-51-9,AMPA,0,0,408278,4854293.9999,0.1,0,5,0,0.036,Non quantificabile
2020,Liguria,IT07AGAG04,1031-07-8,ENDOSULFAN-SOLFATO,0,0,408278,4854293.9999,0.1,0,3,0,0.03,Non quantificabile
2020,Liguria,IT07AGAG04,10265-92-6,METAMIDOFOS,0,0,408278,4854293.9999,0.5,0,5,0,0.01,Non quantificabile
2020,Liguria,IT07AGAG04,56-38-2,PARATION-ETILE,0,0,408278,4854293.9999,0.01,0,5,0,0.03,Non quantificabile
2020,Liguria,IT07AGAG04,53-19-0,"DDD, op",0,0,408278,4854293.9999,0.1,0,5,0,0.03,Non quantificabile
2020,Liguria,IT07AGAG04,93-65-2,MECOPROP,0,0,408278,4854293.9999,0.5,0,1,0,0.01,Non quantificabile
2020,Liguria,IT07AGAG04,50-29-3,"DDT, pp",0,0,408278,4854293.9999,0.01,0,5,0,0.03,Non quantificabile
2020,Liguria,IT07AGAG04,886-50-0,TERBUTRINA,0,0,408278,4854293.9999,0.065,0.34,5,0,0.01,Non quantificabile
2020,Liguria,IT07AGAG04,470-90-6,CLORFENVINFOS,0,0,408278,4854293.9999,0.1,0.3,4,0,0.01,Non quantificabile
2020,Liguria,IT07AGAG04,42576-02-3,BIFENOX,0,0,408278,4854293.9999,0.012,0.04,5,0,0.01,Non quantificabile
2020,Liguria,IT07AGAG04,39148-24-8,FOSETIL-ALLUMINIO,0,0,408278,4854293.9999,0.1,0,5,0,0.026,Non quantificabile
2020,Liguria,IT07AGAG04,3424-82-6,"DDE, op",0,0,408278,4854293.9999,0.1,0,5,0,0.03,Non quantificabile
2020,Liguria,IT07AGAG04,34123-59-6,ISOPROTURON,0,0,408278,4854293.9999,0.3,1,5,0,0.01,Non quantificabile
2020,Liguria,IT07AGAG04,33213-65-9,"ENDOSULFAN, beta",0,0,408278,4854293.9999,0.005,0.01,5,0,0.03,Non quantificabile
2020,Liguria,IT07AGAG04,330-55-2,LINURON,0,0,408278,4854293.9999,0.5,0,5,0,0.01,Non quantificabile
2020,Liguria,IT07AGAG04,330-54-1,DIURON,0,0,408278,4854293.9999,0.2,1.8,5,0,0.01,Non quantificabile
2020,Liguria,IT07AGAG04,319-86-8,ESACLOROCICLOESANO delta,0,0,408278,4854293.9999,0.02,0.04,2,0,0.03,Non quantificabile
2020,Liguria,IT07AGAG04,319-85-7,ESACLOROCICLOESANO beta,0,0,408278,4854293.9999,0.02,0.04,5,0,0.03,Non quantificabile
2020,Liguria,IT07AGAG04,319-84-6,ESACLOROCICLOESANO alfa,0,0,408278,4854293.9999,0.02,0.04,5,0,0.03,Non quantificabile
2020,Liguria,IT07AGAG04,298-03-3,DEMETON-O,0,0,408278,4854293.9999,0.1,0,5,0,0.01,Non quantificabile
2020,Liguria,IT07AGAG04,298-00-0,PARATION-METILE,0,0,408278,4854293.9999,0.01,0,5,0,0.03,Non quantificabile
