"anno,N,9,0","regione,C,254","cod_Staz,C,254","CAS,C,254","sostanza,C,254","conc_max,N,33,15","conc_media,N,33,15","X_ETRS89N3,N,33,15","Y_ETRS89N3,N,33,15","SQA_MA,N,33,15","SQA_CMA,N,33,15","misure,N,9,0","m_positive,N,9,0","LOQ,N,33,15","liv_contam,C,254"
2020,Lombardia,N0080985IR1,298-00-0,PARATION-METILE,0,0,500602.984,5009020.7669,0.01,0,5,0,0.02,Non quantificabile
2020,Lombardia,N0080985IR1,314-40-9,BROMACILE,0,0,500602.984,5009020.7669,0.1,0,5,0,0.03,Non quantificabile
2020,Lombardia,N0080985IR1,319-84-6,ESACLOROCICLOESANO alfa,0,0,500602.984,5009020.7669,0.02,0.04,5,0,0.01,Non quantificabile
2020,Lombardia,N0080985IR1,319-85-7,ESACLOROCICLOESANO beta,0,0,500602.984,5009020.7669,0.02,0.04,5,0,0.01,Non quantificabile
2020,Lombardia,N0080985IR1,319-86-8,ESACLOROCICLOESANO delta,0,0,500602.984,5009020.7669,0.02,0.04,5,0,0.01,Non quantificabile
2020,Lombardia,N0080985IR1,330-54-1,DIURON,0,0,500602.984,5009020.7669,0.2,1.8,5,0,0.03,Non quantificabile
2020,Lombardia,POAD3SECRCLO1,1031-07-8,ENDOSULFAN-SOLFATO,0,0,554443.465,5021565.2029,0.1,0,3,0,0.05,Non quantificabile
2020,Lombardia,POAD3SECRCLO1,104206-82-8,MESOTRIONE,0,0,554443.465,5021565.2029,0.1,0,3,0,0.03,Non quantificabile
2020,Lombardia,N0082451IR2,7287-19-6,PROMETRINA,0,0,523996,4989121.9999,0.1,0,3,0,0.01,Non quantificabile
2020,Lombardia,POAD3VDCA1LO1,110488-70-5,DIMETOMORF,0,0,553349,5013045.9999,0.1,0,2,0,0.03,Non quantificabile
2020,Lombardia,POAD3VDCA1LO1,1113-02-6,OMETOATO,0,0,553349,5013045.9999,0.5,0,2,0,0.03,Non quantificabile
