"anno,N,9,0","regione,C,254","cod_Staz,C,254","CAS,C,254","sostanza,C,254","conc_max,N,33,15","conc_media,N,33,15","X_ETRS89N3,N,33,15","Y_ETRS89N3,N,33,15","SQA_MA,N,33,15","SQA_CMA,N,33,15","misure,N,9,0","m_positive,N,9,0","LOQ,N,33,15","liv_contam,C,254"
2020,Marche,I0281CN,91-20-3,NAFTALENE,0,0,861123.832,4755171.492,2,0,3,0,0.005,Non quantificabile
2020,Marche,R110121PR,34123-59-6,ISOPROTURON,0,0,851160.8693,4832002.6381,0.3,1,3,0,0.01,Non quantificabile
2020,Marche,R110121PR,51218-45-2,METOLACLOR,0,0,851160.8693,4832002.6381,0.1,0,3,0,0.01,Non quantificabile
2020,Marche,R110121PR,52315-07-8,CIPERMETRINA,0,0,851160.8693,4832002.6381,0.00008,0.0006,3,0,0.01,Non quantificabile
2020,Marche,R110121PR,55-38-9,FENTION,0,0,851160.8693,4832002.6381,0.01,0,3,0,0.001,Non quantificabile
2020,Marche,R110121PR,5915-41-3,TERBUTILAZINA,0,0,851160.8693,4832002.6381,0.5,0,3,0,0.01,Non quantificabile
2020,Marche,R110292TS,91-20-3,NAFTALENE,0,0,863817.0516,4750353.0946,2,0,3,0,0.005,Non quantificabile
2020,Marche,R110121PR,330-55-2,LINURON,0,0,851160.8693,4832002.6381,0.5,0,3,0,0.01,Non quantificabile
2020,Marche,R110125ES,115-32-2,DICOFOL,0,0,823844.0707,4806851.5688,0.0013,0,5,0,0.01,Non quantificabile
2020,Marche,R110129ES,330-55-2,LINURON,0,0,825186.8721,4816382.583,0.5,0,6,0,0.01,Non quantificabile
2020,Marche,R110111RU,94-74-6,MCPA,0,0,850062.2492,4841657.6974,0.5,0,4,0,0.05,Non quantificabile
2020,Marche,R1101932CH,115-32-2,DICOFOL,0,0,844827.5465,4787140.822,0.0013,0,4,0,0.01,Non quantificabile
2020,Marche,R110199CH,122-34-9,SIMAZINA,0,0,845818.4282,4788962.5355,1,4,4,0,0.01,Non quantificabile
2020,Marche,R110292TS,93-65-2,MECOPROP,0,0,863817.0516,4750353.0946,0.5,0,3,0,0.02,Non quantificabile
