"anno,N,9,0","regione,C,254","cod_Staz,C,254","CAS,C,254","sostanza,C,254","conc_max,N,33,15","conc_media,N,33,15","X_ETRS89N3,N,33,15","Y_ETRS89N3,N,33,15","SQA_MA,N,33,15","SQA_CMA,N,33,15","misure,N,9,0","m_positive,N,9,0","LOQ,N,33,15","liv_contam,C,254"
2020,Piemonte,060045,120923-37-7,AMIDOSULFURON,0,0,471572,4961514.9999,0.1,0,7,0,0.02,Non quantificabile
2020,Piemonte,060045,121552-61-2,CIPRODINIL,0,0,471572,4961514.9999,0.1,0,8,0,0.02,Non quantificabile
2020,Piemonte,060045,121-75-5,MALATION,0,0,471572,4961514.9999,0.01,0,8,0,0.02,Non quantificabile
2020,Piemonte,060045,122-34-9,SIMAZINA,0,0,471572,4961514.9999,1,4,8,0,0.02,Non quantificabile
2020,Piemonte,060045,122931-48-0,RIMSULFURON,0,0,471572,4961514.9999,0.1,0,8,0,0.02,Non quantificabile
2020,Piemonte,005040,51218-45-2,METOLACLOR,0.1,0.02,439850,4951768.9999,0.1,0,9,1,0.02,Non quantificabile
2020,Piemonte,005040,88671-89-0,MICLOBUTANIL,0.03,0.01222222,439850,4951768.9999,0.1,0,9,1,0.02,Non quantificabile
2020,Piemonte,005040,82097-50-5,TRIASULFURON,0,0,439850,4951768.9999,0.1,0,9,0,0.02,Non quantificabile
2020,Piemonte,005040,106-46-7,"1,4 DICLOROBENZENE",0,0,439850,4951768.9999,2,0,9,0,0.5,Non quantificabile
2020,Piemonte,204555,60207-90-1,PROPICONAZOLO,0,0,424500,5029999.9999,0.1,0,4,0,0.02,Non quantificabile
2020,Piemonte,009040,2540-82-1,FORMOTION,0,0,435884,5043336.9999,0.1,0,8,0,0.02,Non quantificabile
2020,Piemonte,014025,94-74-6,MCPA,0,0,453000,5024527.9999,0.5,0,7,0,0.02,Non quantificabile
2020,Piemonte,019020,133-07-3,FOLPET,0,0,463903,5002335.9999,0.1,0,8,0,0.02,Non quantificabile
2020,Piemonte,021050,94-74-6,MCPA,0.04,0.01333333,394470,4958233.9999,0.5,0,9,1,0.02,Non quantificabile
2020,Piemonte,024040,121-75-5,MALATION,0,0,385077,4916403.9999,0.01,0,9,0,0.02,Non quantificabile
2020,Piemonte,209555,140923-17-7,IPROVALICARB,0,0,414700,5019699.9999,0.1,0,3,0,0.02,Non quantificabile
2020,Piemonte,046050,2164-08-1,LENACIL,0,0,411684,4938905.9999,0.1,0,12,0,0.02,Non quantificabile
2020,Piemonte,204555,118134-30-8,SPIROXAMINA,0,0,424500,5029999.9999,0.1,0,4,0,0.02,Non quantificabile
2020,Piemonte,204555,239110-15-7,FLUOPICOLIDE,0,0,424500,5029999.9999,0.1,0,4,0,0.02,Non quantificabile
2020,Piemonte,058020,16752-77-5,METOMIL,0,0,476323,5029753.9999,0.1,0,9,0,0.02,Non quantificabile
2020,Piemonte,204555,330-55-2,LINURON,0,0,424500,5029999.9999,0.5,0,4,0,0.02,Non quantificabile
