"anno,N,9,0","regione,C,254","cod_Staz,C,254","CAS,C,254","sostanza,C,254","conc_max,N,33,15","conc_media,N,33,15","X_ETRS89N3,N,33,15","Y_ETRS89N3,N,33,15","SQA_MA,N,33,15","SQA_CMA,N,33,15","misure,N,9,0","m_positive,N,9,0","LOQ,N,33,15","liv_contam,C,254"
2020,Puglia,CA_FF02,2921-88-2,CLORPIRIFOS,0,0,1019717.7235,4657278.6098,0.03,0.1,4,0,0.005,Non quantificabile
2020,Puglia,CA_FL01,94-74-6,MCPA,0,0,1175178.8649,4514129.0623,0.5,0,4,0,0.03,Non quantificabile
2020,Puglia,CA_FO03,34123-59-6,ISOPROTURON,0,0,1103091.5392,4601714.8768,0.3,1,4,0,0.05,Non quantificabile
2020,Puglia,CA_GA01,2439-10-3,DODINA,0,0,1168226.0938,4503685.7241,0.1,0,4,0,0.025,Non quantificabile
2020,Puglia,CA_LN01,115-32-2,DICOFOL,0,0,1179390.2136,4514781.7435,0.0013,0,4,0,0.002,Non quantificabile
2020,Puglia,CA_TC01,161326-34-7,FENAMIDONE,0,0,1025295.5423,4644290.8463,0.1,0,4,0,0.03,Non quantificabile
2020,Puglia,LA_CI01,25057-89-0,BENTAZONE,0,0,1253961.3098,4536649.0242,0.5,0,4,0,0.03,Non quantificabile
2020,Puglia,LA_CI01,26225-79-6,ETOFUMESATE,0,0,1253961.3098,4536649.0242,0.1,0,4,0,0.03,Non quantificabile
2020,Puglia,LA_CI01,2642-71-9,AZINFOS-ETILE,0,0,1253961.3098,4536649.0242,0.01,0,3,0,0.005,Non quantificabile
2020,Puglia,LA_CI01,28159-98-0,CIBUTRINA,0,0,1253961.3098,4536649.0242,0.0025,0.016,3,0,0.0005,Non quantificabile
2020,Puglia,LA_CI01,2921-88-2,CLORPIRIFOS,0,0,1253961.3098,4536649.0242,0.03,0.1,4,0,0.005,Non quantificabile
2020,Puglia,LA_CI01,55335-06-3,TRICLOPIR,0,0,1253961.3098,4536649.0242,0.1,0,3,0,0.1,Non quantificabile
2020,Puglia,LA_OC01,533-74-4,DAZOMET,0,0,995402.3636,4618421.4794,0.1,0,4,0,0.025,Non quantificabile
2020,Puglia,CA_FO03,330-55-2,LINURON,0,0,1103091.5392,4601714.8768,0.5,0,4,0,0.03,Non quantificabile
2020,Puglia,AT_AL01,2439-10-3,DODINA,0.043,0.02775,1304103.0047,4494224.4912,0.1,0,4,2,0.025,Non quantificabile
2020,Puglia,AT_AL01,107534-96-3,TEBUCONAZOLO,0,0,1304103.0047,4494224.4912,0.1,0,4,0,0.03,Non quantificabile
2020,Puglia,AT_AL01,122-34-9,SIMAZINA,0,0,1304103.0047,4494224.4912,1,4,4,0,0.03,Non quantificabile
2020,Puglia,AT_AL01,15545-48-9,CLOROTOLURON,0,0,1304103.0047,4494224.4912,0.1,0,4,0,0.03,Non quantificabile
2020,Puglia,AT_AL01,1582-09-8,TRIFLURALIN,0,0,1304103.0047,4494224.4912,0.03,0,4,0,0.009,Non quantificabile
2020,Puglia,AT_AL01,15972-60-8,ALACLOR,0,0,1304103.0047,4494224.4912,0.3,0.7,4,0,0.01,Non quantificabile
2020,Puglia,AT_PC01,85-00-7,DIQUAT,0,0,1257818.6819,4493619.8997,0.1,0,4,0,0.025,Non quantificabile
2020,Puglia,AT_PU01,533-74-4,DAZOMET,0,0,1265525.4481,4533284.4702,0.1,0,2,0,0.025,Non quantificabile
2020,Puglia,CA_CL02,60-51-5,DIMETOATO,0,0,1051482.0169,4623396.4605,0.5,0,4,0,0.03,Non quantificabile
2020,Puglia,CA_CR03,1918-00-9,DICAMBA,0,0,1069797.76,4605359.2578,0.1,0,4,0,0.1,Non quantificabile
2020,Puglia,CA_FF02,41394-05-2,METAMITRON,0,0,1019717.7235,4657278.6098,0.1,0,4,0,0.03,Non quantificabile
2020,Puglia,CA_FO01,23950-58-5,PROPIZAMIDE,0,0,1076838.749,4577330.3709,0.1,0,4,0,0.03,Non quantificabile
2020,Puglia,CA_FO01,85-00-7,DIQUAT,0,0,1076838.749,4577330.3709,0.1,0,4,0,0.025,Non quantificabile
2020,Puglia,CA_FO01,95-95-4,"2,4,5-TRICLOROFENOLO",0,0,1076838.749,4577330.3709,0.1,0,4,0,0.05,Non quantificabile
2020,Puglia,CA_TC03,119168-77-3,TEBUFENPIRAD,0,0,1041094.9839,4638513.736,0.1,0,4,0,0.03,Non quantificabile
2020,Puglia,CA_TC03,732-11-6,FOSMET,0,0,1041094.9839,4638513.736,0.1,0,4,0,0.03,Non quantificabile
2020,Puglia,CA_TS02,94361-06-5,CIPROCONAZOLO,0,0,1008927.9182,4659675.8566,0.1,0,4,0,0.03,Non quantificabile
2020,Puglia,LA_LO01,74070-46-5,ACLONIFEN,0,0,1088023.0142,4572601.7255,0.12,0.12,4,0,0.003,Non quantificabile
2020,Puglia,CA_GA01,RAGGR_2,DDT totale,0,0,1168226.0938,4503685.7241,0.025,0,16,0,0.003,Non quantificabile
2020,Puglia,LA_SC01,RAGGR_4,Eptacloro ed eptacloro epossido,0,0,1110300.4494,4547207.4562,0.0000002,0,8,0,0.001,Non quantificabile
2020,Puglia,VM_PS01,RAGGR_1,ANTIPARASSITARI CICLODIENE,0,0,1204265.7648,4513587.7625,0.005,0,12,0,0.001,Non quantificabile
2020,Puglia,VM_PS01,RAGGR_4,Eptacloro ed eptacloro epossido,0,0,1204265.7648,4513587.7625,0.00000001,0,6,0,0.001,Non quantificabile
2020,Puglia,VM_PS01,RAGGR_3,TERBUTILAZINA (incluso metabolita),0,0,1204265.7648,4513587.7625,0.2,0,6,0,0.03,Non quantificabile
