"anno,N,9,0","regione,C,254","cod_Staz,C,254","CAS,C,254","sostanza,C,254","conc_max,N,33,15","conc_media,N,33,15","X_ETRS89N3,N,33,15","Y_ETRS89N3,N,33,15","SQA_MA,N,33,15","SQA_CMA,N,33,15","misure,N,9,0","m_positive,N,9,0","LOQ,N,33,15","liv_contam,C,254"
2020,Sardegna,0224-CF000103-ST01,16752-77-5,METOMIL,0,0,487953.3377,4423979.2137,0.1,0,3,0,0.01,Non quantificabile
2020,Sardegna,0224-CF000103-ST01,298-00-0,PARATION-METILE,0,0,487953.3377,4423979.2137,0.01,0,3,0,0.003,Non quantificabile
2020,Sardegna,0224-CF000103-ST01,42576-02-3,BIFENOX,0,0,487953.3377,4423979.2137,0.012,0.04,3,0,0.005,Non quantificabile
2020,Sardegna,0224-CF000103-ST01,50-29-3,"DDT, pp",0,0,487953.3377,4423979.2137,0.01,0,7,0,0.003,Non quantificabile
2020,Sardegna,0224-CF000103-ST01,53112-28-0,PIRIMETANIL,0,0,487953.3377,4423979.2137,0.1,0,3,0,0.01,Non quantificabile
2020,Sardegna,0224-CF000103-ST01,55-38-9,FENTION,0,0,487953.3377,4423979.2137,0.01,0,3,0,0.003,Non quantificabile
2020,Sardegna,0224-CF000103-ST01,62-73-7,DICLORVOS,0,0,487953.3377,4423979.2137,0.0006,0.0007,3,0,0.00025,Non quantificabile
2020,Sardegna,0224-CF000103-ST01,66246-88-6,PENCONAZOLO,0,0,487953.3377,4423979.2137,0.1,0,3,0,0.01,Non quantificabile
2020,Sardegna,0224-CF000800-ST01,53112-28-0,PIRIMETANIL,0,0,492311.7511,4407578.7122,0.1,0,3,0,0.01,Non quantificabile
2020,Sardegna,0008-CF000102-ST01,94-74-6,MCPA,0,0,525072.7216,4341600.6395,0.5,0,1,0,0.01,Non quantificabile
2020,Sardegna,0130-CF000100-ST01,93-65-2,MECOPROP,0,0,539085.7685,4530257.7111,0.5,0,3,0,0.01,Non quantificabile
2020,Sardegna,0182-LA4019,94-74-6,MCPA,0,0,472165.8932,4488578.4613,0.5,0,10,0,0.01,Non quantificabile
2020,Sardegna,0224-CF000103-ST01,161326-34-7,FENAMIDONE,0,0,487953.3377,4423979.2137,0.1,0,3,0,0.01,Non quantificabile
2020,Sardegna,0254-CF000102-ST01,16752-77-5,METOMIL,0,0,455585.25,4328051.0609,0.1,0,3,0,0.01,Non quantificabile
2020,Sardegna,0224-CF000103-ST01,74070-46-5,ACLONIFEN,0,0,487953.3377,4423979.2137,0.12,0.12,3,0,0.03,Non quantificabile
2020,Sardegna,0224-CF000103-ST01,886-50-0,TERBUTRINA,0,0,487953.3377,4423979.2137,0.065,0.34,3,0,0.01,Non quantificabile
2020,Sardegna,0224-CF000103-ST01,111988-49-9,TIACLOPRID,0,0,487953.3377,4423979.2137,0.1,0,3,0,0.01,Non quantificabile
2020,Sardegna,0045-CF000105-ST01,2921-88-2,CLORPIRIFOS,0,0,552305.1432,4374711.3778,0.03,0.1,3,0,0.009,Non quantificabile
2020,Sardegna,0102-CF000105-ST01,118-74-1,ESACLOROBENZENE,0,0,555468.6753,4472239.9196,0.005,0.05,4,0,0.0015,Non quantificabile
2020,Sardegna,0159-CF000100-ST01,886-50-0,TERBUTRINA,0,0,536060.7704,4546061.6678,0.065,0.34,1,0,0.01,Non quantificabile
2020,Sardegna,0174-CF000100-ST01,SMM_3,ANTIPARASSITARI CICLODIENE,0,0,505388.0153,4550353.5366,0.01,0,5,0,0.003,Non quantificabile
2020,Sardegna,0176-CF000106-ST01,93-76-5,"2,4,5-TRICLOROFENOSSIACETICO ACIDO",0,0,489101.0787,4529882.5412,0.5,0,3,0,0.01,Non quantificabile
2020,Sardegna,0191-CF001400-ST01,131860-33-8,AZOSSISTROBINA,0,0,446000.344,4498956.9352,0.1,0,3,0,0.01,Non quantificabile
