"anno,N,9,0","regione,C,254","cod_Staz,C,254","CAS,C,254","sostanza,C,254","conc_max,N,33,15","conc_media,N,33,15","X_ETRS89N3,N,33,15","Y_ETRS89N3,N,33,15","SQA_MA,N,33,15","SQA_CMA,N,33,15","misure,N,9,0","m_positive,N,9,0","LOQ,N,33,15","liv_contam,C,254"
2020,Sicilia,IT19RW08003,140923-17-7,IPROVALICARB,0,0,988699.4922,4096660.8248,0.1,0,1,0,0.005,Non quantificabile
2020,Sicilia,IT19LW04343,55179-31-2,BITERTANOLO,0,0,858369.9155,4213813.5775,0.1,0,1,0,0.02,Non quantificabile
2020,Sicilia,IT19LW04343,55219-65-3,TRIADIMENOL,0,0,858369.9155,4213813.5775,0.1,0,2,0,0.02,Non quantificabile
2020,Sicilia,IT19LW04343,55335-06-3,TRICLOPIR,0,0,858369.9155,4213813.5775,0.1,0,2,0,0.02,Non quantificabile
2020,Sicilia,IT19RW04303,111988-49-9,TIACLOPRID,0,0,853858.2615,4218328.9418,0.1,0,8,0,0.0044375,Non quantificabile
2020,Sicilia,IT19RW04303,111991-09-4,NICOSULFURON,0,0,853858.2615,4218328.9418,0.1,0,8,0,0.004125,Non quantificabile
2020,Sicilia,IT19RW04303,112143-82-5,TRIAZAMATE,0,0,853858.2615,4218328.9418,0.1,0,8,0,0.01,Non quantificabile
2020,Sicilia,IT19RW08003,13457-18-6,PIRAZOFOS,0,0,988699.4922,4096660.8248,0.1,0,1,0,0.006,Non quantificabile
2020,Sicilia,IT19RW04303,16752-77-5,METOMIL,0,0,853858.2615,4218328.9418,0.1,0,8,0,0.01,Non quantificabile
2020,Sicilia,IT19RW04302,67747-09-5,PROCLORAZ,0,0,862523.7045,4208548.5295,0.1,0,9,0,0.01,Non quantificabile
2020,Sicilia,IT19RW08211,94-74-6,MCPA,0,0,1010710.4975,4095189.1597,0.5,0,1,0,0.01,Non quantificabile
2020,Sicilia,IT19RW08202,94-74-6,MCPA,0,0,1012603.5759,4102371.3226,0.5,0,1,0,0.01,Non quantificabile
2020,Sicilia,IT19LW03736,23564-05-8,TIOPHANATE-METHYL,0,0,884095.1496,4206738.8828,0.1,0,2,0,0.005,Non quantificabile
2020,Sicilia,IT19LW04343,732-11-6,FOSMET,0,0,858369.9155,4213813.5775,0.1,0,2,0,0.005,Non quantificabile
2020,Sicilia,IT19LW06335,112143-82-5,TRIAZAMATE,0,0,901634.8536,4179218.8585,0.1,0,2,0,0.01,Non quantificabile
2020,Sicilia,IT19RW04301,55-38-9,FENTION,0,0,863036.4104,4209901.0661,0.01,0,9,0,0.003,Non quantificabile
2020,Sicilia,IT19LW190948,709-98-8,PROPANIL,0,0,969088.5499,4165273.3838,0.1,0,7,0,0.005,Non quantificabile
2020,Sicilia,IT19RW04302,42576-02-3,BIFENOX,0,0,862523.7045,4208548.5295,0.012,0.04,9,0,0.001,Non quantificabile
2020,Sicilia,IT19RW07212,114-26-1,PROPOXUR,0,0,936845.0761,4121401.1283,0.1,0,8,0,0.02,Non quantificabile
2020,Sicilia,IT19RW08003,25057-89-0,BENTAZONE,0,0,988699.4922,4096660.8248,0.5,0,1,0,0.007,Non quantificabile
2020,Sicilia,IT19LW04343,330-55-2,LINURON,0,0,858369.9155,4213813.5775,0.5,0,2,0,0.006,Non quantificabile
2020,Sicilia,IT19LW04343,33089-61-1,AMITRAZ,0,0,858369.9155,4213813.5775,0.1,0,2,0,0.02,Non quantificabile
2020,Sicilia,IT19LW04343,33213-65-9,"ENDOSULFAN, beta",0,0,858369.9155,4213813.5775,0.005,0.01,2,0,0.0006,Non quantificabile
2020,Sicilia,IT19LW03736,732-11-6,FOSMET,0,0,884095.1496,4206738.8828,0.1,0,2,0,0.005,Non quantificabile
2020,Sicilia,IT19LW03736,74070-46-5,ACLONIFEN,0,0,884095.1496,4206738.8828,0.12,0.12,2,0,0.02,Non quantificabile
2020,Sicilia,IT19LW04343,110235-47-7,MEPANIPYRIM,0,0,858369.9155,4213813.5775,0.1,0,2,0,0.005,Non quantificabile
2020,Sicilia,IT19LW04343,110488-70-5,DIMETOMORF,0,0,858369.9155,4213813.5775,0.1,0,2,0,0.005,Non quantificabile
2020,Sicilia,IT19LW04343,1113-02-6,OMETOATO,0,0,858369.9155,4213813.5775,0.5,0,2,0,0.002,Non quantificabile
2020,Sicilia,IT19LW06335,120923-37-7,AMIDOSULFURON,0,0,901634.8536,4179218.8585,0.1,0,2,0,0.02,Non quantificabile
2020,Sicilia,IT19RW03902,21087-64-9,METRIBUZIN,0,0,882499.7332,4225665.4754,0.1,0,9,0,0.01,Non quantificabile
2020,Sicilia,IT19RW03902,63-25-2,CARBARIL,0,0,882499.7332,4225665.4754,0.1,0,9,0,0.01,Non quantificabile
2020,Sicilia,IT19LW04343,122-14-5,FENITROTION,0,0,858369.9155,4213813.5775,0.01,0,2,0,0.003,Non quantificabile
2020,Sicilia,IT19LW04343,122-34-9,SIMAZINA,0,0,858369.9155,4213813.5775,1,4,2,0,0.0025,Non quantificabile
2020,Sicilia,IT19LW04343,122931-48-0,RIMSULFURON,0,0,858369.9155,4213813.5775,0.1,0,2,0,0.0025,Non quantificabile
2020,Sicilia,IT19LW04343,123312-89-0,PIMETROZINA,0,0,858369.9155,4213813.5775,0.1,0,2,0,0.006,Non quantificabile
2020,Sicilia,IT19LW04343,124495-18-7,CHINOSSIFEN,0,0,858369.9155,4213813.5775,0.15,2.7,2,0,0.005,Non quantificabile
2020,Sicilia,IT19LW04343,126833-17-8,FENHEXAMID,0,0,858369.9155,4213813.5775,0.1,0,2,0,0.005,Non quantificabile
2020,Sicilia,IT19LW04343,131341-86-1,FLUDIOXONIL,0,0,858369.9155,4213813.5775,0.1,0,2,0,0.0075,Non quantificabile
2020,Sicilia,IT19LW04343,131807-57-3,FAMOXADONE,0,0,858369.9155,4213813.5775,0.1,0,1,0,0.001,Non quantificabile
2020,Sicilia,IT19LW04343,131860-33-8,AZOSSISTROBINA,0,0,858369.9155,4213813.5775,0.1,0,2,0,0.005,Non quantificabile
2020,Sicilia,IT19LW04343,13194-48-4,ETOPROFOS,0,0,858369.9155,4213813.5775,0.1,0,2,0,0.003,Non quantificabile
2020,Sicilia,IT19LW04343,133-06-2,CAPTANO,0,0,858369.9155,4213813.5775,0.1,0,2,0,0.001,Non quantificabile
2020,Sicilia,IT19LW04343,133-07-3,FOLPET,0,0,858369.9155,4213813.5775,0.1,0,2,0,0.01,Non quantificabile
2020,Sicilia,IT19LW04343,134098-61-6,FENPIROXIMATE,0,0,858369.9155,4213813.5775,0.1,0,2,0,0.01,Non quantificabile
2020,Sicilia,IT19LW04343,13457-18-6,PIRAZOFOS,0,0,858369.9155,4213813.5775,0.1,0,2,0,0.004,Non quantificabile
2020,Sicilia,IT19LW04343,29232-93-7,PIRIMIFOS-METILE,0,0,858369.9155,4213813.5775,0.1,0,2,0,0.002,Non quantificabile
2020,Sicilia,IT19LW04343,298-00-0,PARATION-METILE,0,0,858369.9155,4213813.5775,0.01,0,2,0,0.003,Non quantificabile
2020,Sicilia,IT19LW04343,298-02-2,FORATE,0,0,858369.9155,4213813.5775,0.1,0,1,0,0.003,Non quantificabile
2020,Sicilia,IT19LW04343,298-04-4,DISULFOTON,0,0,858369.9155,4213813.5775,0.1,0,2,0,0.001,Non quantificabile
