"anno,N,9,0","regione,C,254","cod_Staz,C,254","CAS,C,254","sostanza,C,254","conc_max,N,33,15","conc_media,N,33,15","X_ETRS89N3,N,33,15","Y_ETRS89N3,N,33,15","SQA_MA,N,33,15","SQA_CMA,N,33,15","misure,N,9,0","m_positive,N,9,0","LOQ,N,33,15","liv_contam,C,254"
2020,Toscana,IT09S1115#POT-092,28159-98-0,CIBUTRINA,0,0,623809.9964,4844528.734,0.0025,0.016,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1115#POT-092,94-74-6,MCPA,0,0,623809.9964,4844528.734,0.5,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1116#POT-094,117428-22-5,PICOXISTROBIN,0,0,626646.9393,4843282.7827,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1116#POT-094,118134-30-8,SPIROXAMINA,0,0,626646.9393,4843282.7827,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1570#MAS-543,1031-07-8,ENDOSULFAN-SOLFATO,0,0,698905.7998,4712118.1935,0.1,0,3,0,0.005,Non quantificabile
2020,Toscana,IT09S1570#MAS-543,23950-58-5,PROPIZAMIDE,0,0,698905.7998,4712118.1935,0.1,0,3,0,0.005,Non quantificabile
2020,Toscana,IT09S1115#POT-092,140923-17-7,IPROVALICARB,0,0,623809.9964,4844528.734,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1115#POT-092,141112-29-0,ISOXAFLUTOLE,0,0,623809.9964,4844528.734,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1115#POT-092,142459-58-3,FLUFENACET,0,0,623809.9964,4844528.734,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1115#POT-092,145026-81-9,PROPOXYCARBOZONE,0,0,623809.9964,4844528.734,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,114-26-1,PROPOXUR,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,115-29-7,ENDOSULFAN,0,0,666541.0154,4866935.8429,0.005,0.01,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,117428-22-5,PICOXISTROBIN,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,118134-30-8,SPIROXAMINA,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,120116-88-3,CIAZOFAMID,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,121552-61-2,CIPRODINIL,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,121-75-5,MALATION,0,0,666541.0154,4866935.8429,0.01,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,122-34-9,SIMAZINA,0,0,666541.0154,4866935.8429,1,4,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,124495-18-7,CHINOSSIFEN,0,0,666541.0154,4866935.8429,0.15,2.7,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,126833-17-8,FENHEXAMID,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,131341-86-1,FLUDIOXONIL,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,131860-33-8,AZOSSISTROBINA,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,13194-48-4,ETOPROFOS,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,135410-20-7,ACETAMIPRID,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,139-40-2,PROPAZINA,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,140923-17-7,IPROVALICARB,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,141112-29-0,ISOXAFLUTOLE,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,142459-58-3,FLUFENACET,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,145026-81-9,PROPOXYCARBOZONE,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,15299-99-7,NAPROPAMIDE,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,153719-23-4,TIAMETOXAM,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,15545-48-9,CLOROTOLURON,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,156052-68-5,ZOXAMIDE,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,1582-09-8,TRIFLURALIN,0,0,666541.0154,4866935.8429,0.03,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,15972-60-8,ALACLOR,0,0,666541.0154,4866935.8429,0.3,0.7,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,161050-58-4,METOSSIFENOZIDE,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,161326-34-7,FENAMIDONE,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,175013-18-0,PIRACLOSTROBIN,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,188425-85-6,BOSCALID,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,41814-78-2,TRICICLAZOLO,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,42874-03-3,OXIFLUORFEN,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,470-90-6,CLORFENVINFOS,0,0,666541.0154,4866935.8429,0.1,0.3,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,473798-59-3,FENPYRAZAMINE,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,87392-12-9,S-METOLACLOR,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,87674-68-8,DIMETENAMIDE,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,919-86-8,DEMETON-S-METILE,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,94361-06-5,CIPROCONAZOLO,0,0,666541.0154,4866935.8429,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1097#POT-068,94-74-6,MCPA,0,0,666541.0154,4866935.8429,0.5,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1112#POT-089,1912-24-9,ATRAZINA,0,0,623793.991,4845047.7135,0.6,2,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1112#POT-089,1918-00-9,DICAMBA,0,0,623793.991,4845047.7135,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1112#POT-089,19666-30-9,OXADIAZON,0,0,623793.991,4845047.7135,0.1,0,4,0,0.005,Non quantificabile
2020,Toscana,IT09S1113#POT-090,2164-08-1,LENACIL,0,0,623822.9931,4844787.7238,0.1,0,3,0,0.005,Non quantificabile
2020,Toscana,IT09S1113#POT-090,22224-92-6,FENAMIFOS,0,0,623822.9931,4844787.7238,0.1,0,3,0,0.005,Non quantificabile
2020,Toscana,IT09S1114#POT-091,533-74-4,DAZOMET,0,0,621757.0407,4845104.712,0.1,0,5,0,0.005,Non quantificabile
2020,Toscana,IT09S1117#POT-095,121-75-5,MALATION,0,0,624411.9726,4845381.7008,0.01,0,5,0,0.005,Non quantificabile
2020,Toscana,IT09S1117#POT-095,122-34-9,SIMAZINA,0,0,624411.9726,4845381.7008,1,4,5,0,0.005,Non quantificabile
2020,Toscana,IT09S1117#POT-095,34256-82-1,ACETOCLOR,0,0,624411.9726,4845381.7008,0.1,0,5,0,0.005,Non quantificabile
2020,Toscana,IT09S1118#POT-096,330-55-2,LINURON,0,0,626476.9541,4842235.8248,0.5,0,5,0,0.005,Non quantificabile
2020,Toscana,IT09S1125#POT-107,19666-30-9,OXADIAZON,0,0,581154.0532,4912585.8595,0.1,0,3,0,0.005,Non quantificabile
2020,Toscana,IT09S1134#POT-121,15972-60-8,ALACLOR,0,0,734343.9556,4831371.5613,0.3,0.7,3,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,13194-48-4,ETOPROFOS,0,0,662472.1521,4867391.8584,0.1,0,2,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,135410-20-7,ACETAMIPRID,0,0,662472.1521,4867391.8584,0.1,0,2,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,138261-41-3,IMIDACLOPRID,0,0,662472.1521,4867391.8584,0.1,0,2,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,139-40-2,PROPAZINA,0,0,662472.1521,4867391.8584,0.1,0,2,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,140923-17-7,IPROVALICARB,0,0,662472.1521,4867391.8584,0.1,0,2,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,141112-29-0,ISOXAFLUTOLE,0,0,662472.1521,4867391.8584,0.1,0,2,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,142459-58-3,FLUFENACET,0,0,662472.1521,4867391.8584,0.1,0,2,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,145026-81-9,PROPOXYCARBOZONE,0,0,662472.1521,4867391.8584,0.1,0,2,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,15299-99-7,NAPROPAMIDE,0,0,662472.1521,4867391.8584,0.1,0,2,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,153719-23-4,TIAMETOXAM,0,0,662472.1521,4867391.8584,0.1,0,2,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,15545-48-9,CLOROTOLURON,0,0,662472.1521,4867391.8584,0.1,0,2,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,1071-83-6,GLIFOSATE,0,0,662472.1521,4867391.8584,0.1,0,2,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,156052-68-5,ZOXAMIDE,0,0,662472.1521,4867391.8584,0.1,0,2,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,1582-09-8,TRIFLURALIN,0,0,662472.1521,4867391.8584,0.03,0,2,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,15972-60-8,ALACLOR,0,0,662472.1521,4867391.8584,0.3,0.7,2,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,161050-58-4,METOSSIFENOZIDE,0,0,662472.1521,4867391.8584,0.1,0,2,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,161326-34-7,FENAMIDONE,0,0,662472.1521,4867391.8584,0.1,0,2,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,175013-18-0,PIRACLOSTROBIN,0,0,662472.1521,4867391.8584,0.1,0,2,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,188425-85-6,BOSCALID,0,0,662472.1521,4867391.8584,0.1,0,2,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,1912-24-9,ATRAZINA,0,0,662472.1521,4867391.8584,0.6,2,2,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,34123-59-6,ISOPROTURON,0,0,662472.1521,4867391.8584,0.3,1,2,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,34256-82-1,ACETOCLOR,0,0,662472.1521,4867391.8584,0.1,0,2,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,374726-62-2,MANDIPROPAMID,0,0,662472.1521,4867391.8584,0.1,0,2,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,101205-02-1,CICLOXIDIM,0,0,662472.1521,4867391.8584,0.1,0,2,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,40487-42-1,PENDIMETALIN,0,0,662472.1521,4867391.8584,0.1,0,2,0,0.005,Non quantificabile
2020,Toscana,IT09S1152#POT-134,41394-05-2,METAMITRON,0,0,662472.1521,4867391.8584,0.1,0,2,0,0.005,Non quantificabile
