"anno,N,9,0","regione,C,254","cod_Staz,C,254","CAS,C,254","sostanza,C,254","conc_max,N,33,15","conc_media,N,33,15","X_ETRS89N3,N,33,15","Y_ETRS89N3,N,33,15","SQA_MA,N,33,15","SQA_CMA,N,33,15","misure,N,9,0","m_positive,N,9,0","LOQ,N,33,15","liv_contam,C,254"
2020,Provincia Autonoma di Trento,SD000144,297-97-2,ZINOFOS,0,0,662373.5393,5091116.7593,0.1,0,8,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,SG000014,RAGGR_2,DDT totale,0,0,662928.5801,5111224.5819,0.025,0,16,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,140923-17-7,IPROVALICARB,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,141517-21-7,TRIFLOXISTROBIN,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,143390-89-0,KRESOXIM-METILE,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,148477-71-8,SPIRODICLOFEN,0,0,671982.9894,5104109.7912,0.1,0,2,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,148-79-8,TIABENDAZOLO,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.02,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,153233-91-1,ETOXAZOLO,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,153719-23-4,TIAMETOXAM,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.02,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,156052-68-5,ZOXAMIDE,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,1582-09-8,TRIFLURALIN,0,0,671982.9894,5104109.7912,0.03,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,15972-60-8,ALACLOR,0,0,671982.9894,5104109.7912,0.3,0.7,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,161050-58-4,METOSSIFENOZIDE,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.02,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,161326-34-7,FENAMIDONE,0,0,671982.9894,5104109.7912,0.1,0,2,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,16752-77-5,METOMIL,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.02,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,175013-18-0,PIRACLOSTROBIN,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,18181-80-1,BROMOPROPILATO,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,183675-82-3,PENTHIOPYRAD,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,188425-85-6,BOSCALID,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,1912-24-9,ATRAZINA,0,0,671982.9894,5104109.7912,0.6,2,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,19666-30-9,OXADIAZON,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,2104-96-3,"BROMOFOS, BROMOFOS-METILE",0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,21087-64-9,METRIBUZIN,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,210880-92-5,CLOTHIANIDIN,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.02,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,21725-46-2,CIANAZINA,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,220899-03-6,METRAFENONE,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,22248-79-9,TETRACLORVINFOS,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,2275-23-2,VAMIDOTION,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.02,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,2310-17-0,FOSALONE,0,0,671982.9894,5104109.7912,0.1,0,2,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,23103-98-2,PIRIMICARB,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,23560-59-0,EPTENOFOS,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,10605-21-7,CARBENDAZIM,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.02,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,239110-15-7,FLUOPICOLIDE,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,23950-58-5,PROPIZAMIDE,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,24017-47-8,TRIAZOFOS,0,0,671982.9894,5104109.7912,0.1,0,2,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,25311-71-1,ISOFENFOS,0,0,671982.9894,5104109.7912,0.1,0,2,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,2642-71-9,AZINFOS-ETILE,0,0,671982.9894,5104109.7912,0.01,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,2921-88-2,CLORPIRIFOS,0,0,671982.9894,5104109.7912,0.03,0.1,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,297-97-2,ZINOFOS,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,10265-92-6,METAMIDOFOS,0,0,671982.9894,5104109.7912,0.5,0,4,0,0.02,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,298-00-0,PARATION-METILE,0,0,671982.9894,5104109.7912,0.01,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,30560-19-1,ACEFATE,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.02,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,41483-43-6,BUPIRIMATE,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,319-84-6,ESACLOROCICLOESANO alfa,0,0,671982.9894,5104109.7912,0.02,0.04,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,319-85-7,ESACLOROCICLOESANO beta,0,0,671982.9894,5104109.7912,0.02,0.04,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,42874-03-3,OXIFLUORFEN,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,470-90-6,CLORFENVINFOS,0,0,671982.9894,5104109.7912,0.1,0.3,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,4824-78-6,BROMOFOS-ETILE,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,319-86-8,ESACLOROCICLOESANO delta,0,0,671982.9894,5104109.7912,0.02,0.04,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,32809-16-8,PROCIMIDONE,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,330-54-1,DIURON,0,0,671982.9894,5104109.7912,0.2,1.8,4,0,0.02,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,330-55-2,LINURON,0,0,671982.9894,5104109.7912,0.5,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,33213-65-9,"ENDOSULFAN, beta",0,0,671982.9894,5104109.7912,0.005,0.01,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,333-41-5,DIAZINON,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,33693-04-8,TERBUMETON,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,3424-82-6,"DDE, op",0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,36734-19-7,IPRODIONE,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,40487-42-1,PENDIMETALIN,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,112281-77-3,TETRACONAZOLO,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,107534-96-3,TEBUCONAZOLO,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,110488-70-5,DIMETOMORF,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,111988-49-9,TIACLOPRID,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.02,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,114-26-1,PROPOXUR,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,114369-43-6,FENBUCONAZOLO,0,0,671982.9894,5104109.7912,0.1,0,2,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,116-29-0,TETRADIFON,0,0,671982.9894,5104109.7912,0.1,0,2,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,118134-30-8,SPIROXAMINA,0,0,671982.9894,5104109.7912,0.1,0,2,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,119168-77-3,TEBUFENPIRAD,0,0,671982.9894,5104109.7912,0.1,0,2,0,0.025,Non quantificabile
2020,Provincia Autonoma di Trento,PR000015,119446-68-3,DIFENOCONAZOLO,0,0,671982.9894,5104109.7912,0.1,0,4,0,0.025,Non quantificabile
