"anno,N,9,0","regione,C,254","cod_Staz,C,254","CAS,C,254","sostanza,C,254","conc_max,N,33,15","conc_media,N,33,15","X_ETRS89N3,N,33,15","Y_ETRS89N3,N,33,15","SQA_MA,N,33,15","SQA_CMA,N,33,15","misure,N,9,0","m_positive,N,9,0","LOQ,N,33,15","liv_contam,C,254"
2020,Umbria,IT10SAO1,1912-24-9,ATRAZINA,0,0,796814.0338,4796520.9347,0.6,2,11,0,0.01,Non quantificabile
2020,Umbria,IT10CHS3,15545-48-9,CLOROTOLURON,0,0,780161.5277,4769033.4054,0.1,0,11,0,0.01,Non quantificabile
2020,Umbria,IT10CHS4,79538-32-2,TEFLUTRIN,0,0,800715.1829,4798114.6448,0.1,0,11,0,0.00954545,Non quantificabile
2020,Umbria,IT10CHS4,79622-59-6,FLUAZINAM,0,0,800715.1829,4798114.6448,0.1,0,11,0,0.01,Non quantificabile
2020,Umbria,IT10GEN1,40487-42-1,PENDIMETALIN,0,0,768428.4434,4762662.6607,0.1,0,11,0,0.01,Non quantificabile
2020,Umbria,IT10GEN1,42576-02-3,BIFENOX,0,0,768428.4434,4762662.6607,0.012,0.04,11,0,0.003,Non quantificabile
2020,Umbria,IT10MAR3,67129-08-2,METAZACLOR,0,0,805269.8243,4743282.2838,0.1,0,11,0,0.01,Non quantificabile
2020,Umbria,IT10NES3,126833-17-8,FENHEXAMID,0,0,763430.8682,4766437.2354,0.1,0,11,0,0.005,Non quantificabile
2020,Umbria,IT10NES3,131341-86-1,FLUDIOXONIL,0,0,763430.8682,4766437.2354,0.1,0,11,0,0.01,Non quantificabile
2020,Umbria,IT10NES3,131860-33-8,AZOSSISTROBINA,0,0,763430.8682,4766437.2354,0.1,0,11,0,0.01,Non quantificabile
2020,Umbria,IT10NES3,13194-48-4,ETOPROFOS,0,0,763430.8682,4766437.2354,0.1,0,11,0,0.01,Non quantificabile
2020,Umbria,IT10NES3,133-07-3,FOLPET,0,0,763430.8682,4766437.2354,0.1,0,11,0,0.01,Non quantificabile
2020,Umbria,IT10NES3,140923-17-7,IPROVALICARB,0,0,763430.8682,4766437.2354,0.1,0,11,0,0.01,Non quantificabile
2020,Umbria,IT10NES3,1582-09-8,TRIFLURALIN,0,0,763430.8682,4766437.2354,0.03,0,11,0,0.005,Non quantificabile
