"anno,N,9,0","regione,C,254","cod_Staz,C,254","CAS,C,254","sostanza,C,254","conc_max,N,33,15","conc_media,N,33,15","X_ETRS89N3,N,33,15","Y_ETRS89N3,N,33,15","SQA_MA,N,33,15","SQA_CMA,N,33,15","misure,N,9,0","m_positive,N,9,0","LOQ,N,33,15","liv_contam,C,254"
2020,Veneto,1265,94-74-6,MCPA,0,0,758424.9742,5042416.2673,0.5,0,4,0,0.01,Non quantificabile
2020,Veneto,210,RAGGR_2,DDT totale,0,0,717813.4346,4986941.6332,0.025,0,20,0,0.01,Non quantificabile
2020,Veneto,434,50-29-3,"DDT, pp",0,0,776274.9871,5075973.2771,0.01,0,4,0,0.01,Non quantificabile
2020,Veneto,311,RAGGR_2,DDT totale,0,0,630269.5528,5032933.9103,0.025,0,18,0,0.01666667,Non quantificabile
2020,Veneto,1017,3397-62-4,ATRAZINA DESETIL DESISOPROPIL,0.07,0.07,656131.921,5025475.6826,0.1,0,1,1,0,Entro i limiti
2020,Veneto,1017,110488-70-5,DIMETOMORF,0.4,0.1225,656131.921,5025475.6826,0.1,0,4,2,0.03,Entro i limiti
2020,Veneto,1049,34123-59-6,ISOPROTURON,0,0,741076.4295,5048534.2508,0.3,1,4,0,0.01,Non quantificabile
2020,Veneto,1049,111991-09-4,NICOSULFURON,0,0,741076.4295,5048534.2508,0.1,0,4,0,0.01,Non quantificabile
2020,Veneto,1103,1918-00-9,DICAMBA,0,0,717565.4591,5016918.3528,0.1,0,4,0,0.03,Non quantificabile
2020,Veneto,1123,1918-00-9,DICAMBA,0,0,702938.922,5033280.2393,0.1,0,4,0,0.03,Non quantificabile
2020,Veneto,1129,94-74-6,MCPA,0,0,767308.6983,5081910.9109,0.5,0,4,0,0.01,Non quantificabile
2020,Veneto,113,60-51-5,DIMETOATO,0,0,714787.1591,5032748.7151,0.5,0,4,0,0.01,Non quantificabile
2020,Veneto,1137,62-73-7,DICLORVOS,0,0,662866.1216,5030775.3338,0.0006,0.0007,4,0,0.03,Non quantificabile
2020,Veneto,1144,67129-08-2,METAZACLOR,0,0,666625.3367,5027828.3834,0.1,0,4,0,0.03,Non quantificabile
2020,Veneto,1179,126833-17-8,FENHEXAMID,0,0,668338.8645,5028145.7778,0.1,0,4,0,0.03,Non quantificabile
2020,Veneto,1247,111991-09-4,NICOSULFURON,0,0,705549.9187,5023804.3844,0.1,0,4,0,0.01,Non quantificabile
2020,Veneto,1257,94-74-6,MCPA,0,0,733995.4248,5060063.7058,0.5,0,4,0,0.01,Non quantificabile
2020,Veneto,1299,110488-70-5,DIMETOMORF,0,0,679356.4402,5036740.6597,0.1,0,4,0,0.03,Non quantificabile
2020,Veneto,1308,161050-58-4,METOSSIFENOZIDE,0,0,731828.9629,5050531.6374,0.1,0,4,0,0.01,Non quantificabile
2020,Veneto,1309,1918-00-9,DICAMBA,0,0,744061.2548,5048022.6896,0.1,0,4,0,0.03,Non quantificabile
2020,Veneto,204,112281-77-3,TETRACONAZOLO,0,0,716638.921,4997345.9093,0.1,0,4,0,0.01,Non quantificabile
2020,Veneto,3203,86-50-0,AZINFOS-METILE,0,0,678892.2316,5031964.2661,0.01,0,4,0,0.03,Non quantificabile
2020,Veneto,3203,87674-68-8,DIMETENAMIDE,0,0,678892.2316,5031964.2661,0.1,0,4,0,0.01,Non quantificabile
2020,Veneto,3203,886-50-0,TERBUTRINA,0,0,678892.2316,5031964.2661,0.065,0.34,4,0,0.01,Non quantificabile
2020,Veneto,333,86-50-0,AZINFOS-METILE,0,0,757143.593,5060664.893,0.01,0,4,0,0.01,Non quantificabile
2020,Veneto,428,1918-00-9,DICAMBA,0,0,631791.6389,5053041.9395,0.1,0,3,0,0.03,Non quantificabile
2020,Veneto,429,122-34-9,SIMAZINA,0,0,789665.7777,5076848.821,1,4,4,0,0.01,Non quantificabile
2020,Veneto,445,122-34-9,SIMAZINA,0,0,678606.2105,5030739.5701,1,4,4,0,0.01,Non quantificabile
2020,Veneto,52,1071-83-6,GLIFOSATE,0,0,709373.441,5061665.8391,0.1,0,3,0,0.01,Non quantificabile
2020,Veneto,IT051050-AT,107-06-2,"1,2-DICLOROETANO",0,0,772578.9039,4978506.4479,10,0,4,0,0.03,Non quantificabile
2020,Veneto,1118,RAGGR_2,DDT totale,0,0,662827.2177,5032299.1348,0.025,0,20,0,0.01,Non quantificabile
2020,Veneto,1232,RAGGR_2,DDT totale,0,0,696697.306,5043490.5672,0.025,0,20,0,0.01,Non quantificabile
2020,Veneto,39,RAGGR_1,ANTIPARASSITARI CICLODIENE,0,0,781292.3445,5075357.3807,0.01,0,16,0,0.01,Non quantificabile
