Anno,Regione,Comune,Localita,Codice stazione,Bacino idrografico,Corpo idrico,Livello di contaminazione,Campioni,Misure,n misure positive,Sostanze cercate,Sostanze trovate,Pesticidi totali,x,y
2020,Lazio,Roma,,L4.27,Arrone Sud,Lago di Martignano,Non quantificabile,5,465,0,92,0,,1370970.0880710261,5178195.3871905515
2020,Toscana,SANTA MARIA A MONTE,,IT09S1306#MAS-144,,CANALE USCIANA-DEL TERZO MONTE,Superiore ai limiti,3,303,26,101,4,0.606,1203356.640248273,5430303.664137114
2020,Sardegna,,,0302-CF000102-ST01,,RIU CIXERRI,Superiore ai limiti,8,195,7,42,2,0.9822,995947.7656131501,4761642.177564946
2020,Lazio,Rieti,,F3.48,Velino,Fiume Velino 4,Entro i limiti,11,1266,3,115,1,0.0012,1418646.4314976044,5236831.863994999
2020,Lazio,Latina,,F2.11,Moscarello,Canale Acque alte/Moscarello 2,Entro i limiti,6,558,13,92,2,0.19,1430678.901334498,5089832.204905291
2020,Veneto,PERNUMIA,BEVERARA,1156,BACCHIGLIONE,CANALE BAGNAROLO,Entro i limiti,4,324,11,73,1,0.47,1312469.4597050764,5663409.221910585
2020,Toscana,AREZZO,,IT09S1623#MAS-513,,TORRENTE MASPINO,Superiore ai limiti,5,508,30,101,4,2.708,1320212.4036282303,5386023.568613062
2020,Lazio,Roma,,F4.62,Tevere Basso Corso,Fiume Tevere 5,Superiore ai limiti,10,1150,8,115,1,0.04,1379833.1211298944,5130881.873971041
2020,Veneto,VERONA,BOSCO BURI,90,ADIGE,FIUME ADIGE,Entro i limiti,4,362,6,83,1,0.18,1229300.184401223,5688254.595818193
2020,Emilia Romagna,CORTEMAGGIORE,Chiavenna a Chiavenna Landi,01120200,CHIAVENNA,T. CHIAVENNA,Superiore ai limiti,6,579,36,98,2,0.41,1099330.009151206,5622677.750974377
2020,Toscana,PISTOIA,,IT09S1048#POT-012,,TORRENTE OMBRONE_PT MONTE,Entro i limiti,3,304,14,101,2,0.393,1212601.7617804487,5460290.125976509
2020,Puglia,Casalnuovo Monterotaro,Fiume Fortore,CA_FF01,Fortore,Fortore_12_2,Entro i limiti,4,480,2,113,1,0.14,1674759.8902385875,5108283.00172476
2020,Veneto,MARENO DI PIAVE,PONTE DI VIA SAN FELICE,621,LIVENZA,TORRENTE CERVADA,Superiore ai limiti,4,353,32,88,4,1.85,1377207.3579460469,5757814.984396397
2020,Toscana,CASTIGLIONE D'ORCIA,,IT09S1644#MAS-549,,TORRENTE ONZOLA,Entro i limiti,2,204,2,101,1,0.043,1294704.5780432962,5315731.993605557
2020,Campania,CastelCampagnano(CE),AmonteconfluenzaFiumeCalore,V5,VOLTURNO,VOLTURNO,Superiore ai limiti,2,4,2,2,1,0.21,1608622.3017233429,5041178.613002528
2020,Veneto,JESOLO,TORRE CALIGO,238,SILE,FIUME SILE,Superiore ai limiti,12,1087,66,84,2,0.45,1403985.23769806,5706969.622987263
2020,Veneto,ZIMELLA,CASA LAVAGNO,1288,FRATTA GORZONE,SCOLO CASTELLARO,Entro i limiti,4,346,8,80,2,0.13,1264522.7938337198,5674438.602936221
2020,Emilia Romagna,COLORNO,Po a Sacca di Colorno,01000400,ASTA PO,F. PO,Superiore ai limiti,9,898,49,100,3,1.43,1154926.3039760413,5616557.334592219
2020,Sardegna,,,0176-CF000106-ST01,,FIUME COGHINAS,Entro i limiti,6,179,6,49,3,0.378,987466.667584553,5000546.329018026
2020,Sardegna,,,0039-CF000109-ST01,,FIUME FLUMENDOSA,Entro i limiti,3,45,2,15,1,0.083,1064066.8336569683,4784861.479020354
2020,Emilia Romagna,RICCIONE,"Marano al ponte su via Tortona, zona aeroporto",20000200,MARANO,R. MARANO,Superiore ai limiti,6,591,27,98,3,1.57,1406019.3787137433,5467310.222340014
2020,Emilia Romagna,CATTOLICA,Ventena al ponte via Emilia-Romagna,23000200,VENTENA,T. VENTENA,Superiore ai limiti,6,601,53,100,8,6.31,1417416.107831654,5459810.820096166
2020,Toscana,ORBETELLO,,IT09S2315#MAS-2002,,TORRENTE PATRIGNONE,Entro i limiti,3,306,7,101,1,0.144,1259052.8081035812,5250234.579302924
2020,Umbria,Bettona,Bettona,IT10CHS2,TEVERE,Fiume Chiascio da L. Valfabbrica a F. Topino,Superiore ai limiti,11,1155,16,101,2,0.61,1392438.0832548277,5316928.329923771
2020,Umbria,Marsciano,Pian dei Fossi,IT10GEN1,TEVERE,Torrente Genna,Superiore ai limiti,11,1157,42,101,3,8.57,1368282.7710667967,5307298.330904969
2020,Puglia,Porto Cesareo,Baia di Porto Cesareo,AT_PC01,Porto Cesareo,Baia di Porto Cesareo,Entro i limiti,4,542,4,129,1,0.03,1993121.7261629088,4902205.409487837
2020,Toscana,FIRENZE,INDIANO CASCINE,IT09S1289#MAS-127,,TORRENTE MUGNONE,Superiore ai limiti,3,304,6,101,1,0.699,1246394.5894102887,5433092.157028659
2020,Puglia,Celenza Valfortore,Occhito (centro lago),LA_OC01,Fortore,Occhito (Fortore),Entro i limiti,4,500,5,118,1,0.21,1663131.7455978272,5095866.0661351085
2020,Puglia,Lesina,Laguna di Lesina - da sponda occidentale a località La Punta,AT_LE01,Canale acquarotta,Laguna di Lesina - da sponda occidentale a località La Punta,Entro i limiti,4,580,7,138,2,0.1846,1708318.1821808887,5144013.59503699
2020,Puglia,Ascoli Satriano,Torrente Carapelle,CA_CR02,Carapelle,Carapelle_18_Carapellotto,Superiore ai limiti,4,540,5,128,2,0.425,1729998.0025600549,5045636.367117184
2020,Veneto,OPPEANO,MAZZANTA,1117,FISSERO TARTARO CANALBIANCO,FIUME MENAGO,Entro i limiti,4,343,14,78,2,0.24,1229500.0309177325,5670129.637674009
2020,Veneto,CORBOLA,SABBIONI,227,PO,FIUME PO DI VENEZIA,Superiore ai limiti,12,1100,56,86,4,1.06,1345554.3682538292,5620296.445536531
2020,Emilia Romagna,ARGENTA,Menata-Sussidiario su strada Vallesanta a chiusura bacino,06003740,RENO,COLL. MENATA - SUSSIDIARIO,Superiore ai limiti,6,576,54,95,4,1.435,1315425.8941184331,5554831.268014088
2020,Toscana,FIRENZE,,IT09S1634#MAS-503 POT-045A,,FIUME ARNO FIORENTINO MONTE,Entro i limiti,5,502,37,101,2,0.201,1258338.9821177614,5428921.303279853
2020,Toscana,LARCIANO,,IT09S2517#MAS-PF4,,CANALE USCIANA-DEL TERZO MONTE,Superiore ai limiti,5,509,51,101,4,9.744,1203905.2113851365,5433381.796107882
2020,Provincia Autonoma di Bolzano/Bozen,Caldaro sulla Strada del Vino,all'uscita del lago,11185,Adige,Fossa Grande o di Bronzolo,Entro i limiti,11,1865,11,162,1,0.27,1253171.7989759408,5838870.802942935
2020,Basilicata,Ripacandida,,IT017-OF-P04-F,Ofanto,,Entro i limiti,1,90,19,83,1,0.1322,1750149.336075973,4998205.309531677
2020,Sicilia,Ragusa,Fiume Irminio Cafeo,IT19RW08211,IRMINIO,Fiume Irminio,Entro i limiti,1,237,8,230,1,0.139,1639405.2578491261,4420244.278907418
2020,Sicilia,Licata,staz. 57 F.Salso,IT19RW07212,IMERA MERIDIONALE,Fiume Imera Meridionale,Superiore ai limiti,8,1713,61,208,2,3.45,1549220.2176347508,4458218.247889749
2020,Provincia Autonoma di Trento,SAN MICHELE ALL'ADIGE,FOSSA DI CALDARO - GRUMO,SD000134,Adige,FOSSA DI CALDARO,Entro i limiti,11,1305,33,121,6,0.95,1238581.2240220641,5811906.996806561
2020,Emilia Romagna,COMACCHIO,"Circondariale a idrovora Valle Lepri, Ostellato",05001800,BURANA-NAVIGABILE,CAN. CIRCONDARIALE BANDO - VALLE LEPRI,Superiore ai limiti,7,704,72,100,3,2.629,1346760.5703466777,5574058.555914318
2020,Toscana,MARCIANO DELLA CHIANA,,IT09S1274#MAS-112,,CANALE MAESTRO DELLA CHIANA MONTE,Superiore ai limiti,4,408,47,101,6,3.854,1317544.752826957,5360853.710840431
2020,Sicilia,Palma di Montechiaro,Fiume Palma,IT19RW07001,PALMA,Fiume Palma,Superiore ai limiti,8,1712,143,207,5,11.9195,1529669.2867978793,4462732.207833231
2020,Provincia Autonoma di Trento,AMBLAR-DON,RIO MOSCABIO - ROMENO,SD000528,Noce,RIO MOSCABIO,Entro i limiti,10,1182,8,120,2,0.44,1238696.422309948,5843295.011964974
2020,Veneto,BOSARO,PONTE S.S.16 BOSARO ROVIGO,210,FISSERO TARTARO CANALBIANCO,CANALBIANCO,Superiore ai limiti,4,344,23,78,4,1.34,1309530.331507382,5621911.277327111
2020,Veneto,PREGANZIOL,VIA SORANZO,6032,SILE,SCOLO SERVA,Entro i limiti,4,335,11,80,1,0.4,1358950.7255731875,5718133.757423234
2020,Toscana,PONTE BUGGIANESE,,IT09S2304#MAS-2011,,FIUME PESCIA DI PESCIA-TORRENTE PESCIA-TORRENTE PESCIA D,Superiore ai limiti,5,510,27,101,2,6.021,1198257.9086387167,5439919.927120723
2020,Toscana,AREZZO,,IT09S1264#MAS-102 POT-004,,FIUME ARNO ARETINO,Superiore ai limiti,5,510,20,101,2,0.608,1317076.2080830706,5391485.531795284
2020,Toscana,GAIOLE IN CHIANTI,,IT09S1566#MAS-921 VTP-308,,TORRENTE PIANA,Superiore ai limiti,3,306,15,101,1,3.614,1271127.4699668502,5380671.385001264
2020,Puglia,Nardò,Torrente Asso,CA_AS01,Canale Asso-Raschione,Torrente Asso,Superiore ai limiti,3,432,38,138,8,6.401,2006812.141661656,4893429.555617589
2020,Campania,Paternopoli(AV),PonteSP159/SP160alconfineconCastelvetere,C3BIS,VOLTURNO,CALOREVOLTURNO,Superiore ai limiti,2,4,4,2,2,2.44,1674213.8610723843,5002608.328099858
2020,Toscana,CAPALBIO,,IT09S2323#MAS-2019,,FOSSO CHIARONE VALLE,Entro i limiti,3,306,7,101,1,0.185,1274926.248422112,5220550.359107159
2020,Sicilia,Niscemi,Diga Cimia (opera di presa),IT19LW07721,GELA,Diga Cimia ,Entro i limiti,2,472,16,229,1,0.07578,1597734.6989634596,4465265.530081797
2020,Veneto,ISOLA DELLA SCALA,MOLINO DEL MALTEMPO,1145,FISSERO TARTARO CANALBIANCO,FOSSALTO,Entro i limiti,4,345,19,79,4,0.44,1224309.1436364253,5666911.144838452
2020,Lazio,Lanuvio,,F2.72,Moscarello,Fosso Spaccasassi 2,Entro i limiti,4,372,18,92,4,1.02,1411753.6792553752,5104377.233140184
2020,Campania,VairanoPatenora(CE),SP96PontedellaScafa,V2,VOLTURNO,VOLTURNO,Superiore ai limiti,5,10,2,4,1,0.25,1575181.2587996125,5065902.497880132
2020,Sicilia,Castronuovo di Sicilia,Piano del Leone (opera di presa),IT19LW06113,VERDURA e bacini minori fra VERDURA e MAGAZZOLO,Piano del Leone ,Entro i limiti,2,453,3,228,1,0.115,1499210.0478021572,4533105.574353263
2020,Sicilia,Licodia Eubea,Dirillo (opera di presa),IT19LW07824,ACATE e bacini minori fra GELA e ACATE,Dirillo ,Entro i limiti,3,682,16,223,2,0.40018,1634327.7532149593,4456609.029924739
2020,Sardegna,,,0130-CF000100-ST01,,RIU DE SELIGHEDDU,Entro i limiti,7,113,5,44,2,0.174,1053550.0360340732,5000917.2905615205
2020,Sardegna,,,0221-CF000102-ST01,,RIU DI MARE FOGHE,Superiore ai limiti,9,152,15,56,3,3.41,950293.3046896566,4865824.282457779
2020,Provincia Autonoma di Trento,COMANO TERME,DAL - A MONTE CONFLUENZA CARERA,SD000308,Sarca,TORRENTE DAL,Entro i limiti,4,472,2,119,1,0.15,1209945.8291754217,5781842.794329108
2020,Sardegna,,,0221-CF000600-ST01,,RIU MANNU,Superiore ai limiti,5,60,4,21,2,0.385,959683.2150564201,4871337.778334079
2020,Sardegna,,,0226-AT50570-0012,,Corru Mannu,Non quantificabile,3,7,0,3,0,,948984.8554271393,4831588.1197159765
2020,Toscana,SUBBIANO,SUBBIANO,IT09S1134#POT-121,,,Non quantificabile,3,306,8,101,0,0.095,1325076.5900817146,5403510.397290036
2020,Sardegna,,,0226-AT50600-0344,,Stagno di Marceddì,Non quantificabile,3,5,0,3,0,,948910.4097497102,4824014.324622831
2020,Sardegna,,,0001-LA4004,,Flumini Mannu a Is Barroccus,Non quantificabile,7,119,0,16,0,,1012940.1805375618,4830605.330107069
2020,Sardegna,,,0115-AT50212-0006,,Stagno Longo,Non quantificabile,2,2,0,1,0,,1083672.9562447842,4956973.713615795
2020,Sardegna,,,0102-LA4012,,Cedrino a Pedra 'e Othoni,Non quantificabile,10,190,0,18,0,,1061983.2424469755,4910625.960316081
2020,Sardegna,,,0176-CF000500-ST01,,RIU ALTANA,Non quantificabile,5,85,1,27,0,0.061,988333.9577292617,4985214.318943114
2020,Abruzzo,Crognaleto,Paladini,R1304VM1,Vomano,CI_Vomano_2,Non quantificabile,1,52,0,46,0,,1498441.8124884465,5242502.272333196
2020,Basilicata,Pescopagano,,IT17-OF-P08-L,Ofanto,,Non quantificabile,3,270,33,83,0,0.2414,1717845.6595873774,4985889.703292207
2020,Sardegna,,,0190-AT50390-0007,,Stagno di Calich,Non quantificabile,1,1,0,1,0,,925640.8708684886,4951867.132838107
2020,Sardegna,,,0191-LA4022,,Rio Cuga a Nuraghe Attentu,Non quantificabile,10,168,0,16,0,,942441.3316572139,4955142.145317124
2020,Lazio,Ferentino,,F1.36,Sacco,Torrente Alabro 2,Non quantificabile,6,663,3,113,0,0.22,1473759.8095059346,5108836.422474851
2020,Basilicata,Pignola,,IT017-BS-P12/L,Basento,,Non quantificabile,4,359,22,83,0,0.0256,1752861.26421118,4952030.64616639
2020,Basilicata,Genzano di Lucania,,IT017-BR-P18-L,Bradano,,Non quantificabile,4,360,69,83,0,0.250709,1807480.8021657148,4990373.52355118
2020,Basilicata,Lauria,,IT017-SI-P14-L,Sinni,,Non quantificabile,1,90,2,83,0,0.0018,1767695.1604125577,4874384.3546312135
2020,Sardegna,,,0222-CF000103-ST01,,FIUME TIRSO,Non quantificabile,3,31,0,12,0,,1016192.8848073651,4934514.456122275
2020,Sardegna,,,0035-CF000102-ST02,,RIO PICOCCA (foce),Non quantificabile,3,12,0,4,0,,1055902.8848936746,4771908.192333889
2020,Sardegna,,,0217-CF000102-ST01,,RIU SANTA CATERINA,Non quantificabile,2,52,0,36,0,,946078.4148447358,4882970.786251284
2020,Sardegna,,,0129-CF002200-ST01,,RIU DE SU PIRICONE,Non quantificabile,3,14,0,6,0,,1061898.330002484,4978434.228856545
2020,Sardegna,,,0130-AT51010-0004,,Sos Tramesos,Non quantificabile,1,1,0,1,0,,1057855.4142582742,4999528.1816293625
2020,Marche,,,I0281CN,,,Non quantificabile,3,15,0,5,0,,1493955.0800283947,5291257.068911817
2020,Basilicata,Anzi,,IT017-CM01,Basento,,Non quantificabile,4,360,23,83,0,0.0244,1780936.1893746755,4945401.195804773
2020,Sardegna,,,0181-AT50350-0027,,Stagno di Platamona,Non quantificabile,1,1,0,1,0,,945841.5853375201,4985074.420110839
2020,Puglia,Taranto,Fiume Tara,CA_TA01,Fiume Tara,Tara,Non quantificabile,4,596,0,142,0,,1908635.5133109116,4941291.307147318
2020,Provincia Autonoma di Trento,BORGO VALSUGANA,BRENTA VECCHIO - A MONTE CONFLUENZA IN BRENTA,SD000214,Brenta,FIUME BRENTA VECCHIO,Non quantificabile,4,472,1,119,0,0.03,1274760.0087643373,5789051.439352255
2020,Provincia Autonoma di Trento,AVIO,BIFFIS - MAMA D'AVIO,SG000007,Adige,CANALE MEDIO ADIGE (BIFFIS),Non quantificabile,12,1416,0,119,0,,1221224.0346765763,5739145.582128884
2020,Basilicata,Aliano,,IT017-AG-P03-F,Agri,,Non quantificabile,1,90,7,83,0,0.0082,1805740.5307008647,4915128.290849386
2020,Lazio,Sezze,,F2.70,Badino,Fiume Ufente 1,Non quantificabile,6,558,0,92,0,,1458123.7502110412,5080815.729529405
2020,Campania,SanBartolomeoinGaldo(BN),Morrecine,FO,FORTORE,FORTORE,Non quantificabile,5,168,0,73,0,,1666737.725000891,5076993.725959479
2020,Campania,ArianoIrpino(AV),PonteSP10(dopoincrocioSP11perZungoli),CE1,CERVARO,CERVARO,Non quantificabile,2,4,0,2,0,,1687794.6543915544,5035064.117618512
2020,Campania,Controne(SA),PonteSS488,CL5,SELE,CALORELUCANO,Non quantificabile,4,325,0,73,0,,1692720.8374405105,4938578.000732427
2020,Lazio,Colli sul Velino,,L3.39,Velino,Lago di Ventina,Non quantificabile,5,465,0,92,0,,1419652.3665564344,5237469.99598551
2020,Toscana,ROSIGNANO MARITTIMO,,IT09S1649#MAS-525 VTP-082,,TORRENTE CHIOMA,Non quantificabile,6,604,10,100,0,0.071,1155510.7260574647,5380618.64955985
2020,Sardegna,,,0174-CF000100-ST01,,RIU VIGNOLA,Non quantificabile,6,41,0,9,0,,1009018.4549501396,5027759.505012586
2020,Provincia Autonoma di Trento,TRENTO,LAVISOTTO - Via Unterveger,SD000153,Avisio,LAVISOTTO,Non quantificabile,4,472,1,119,0,0.04,1236687.6442884493,5795516.891778308
2020,Basilicata,Senise,,IT017-MC01,Sinni,,Superiore ai limiti,4,360,16,83,1,0.0183,1820848.5851219876,4891439.4604660375
2020,Lazio,Rieti,,F3.62,Velino,Fiume Velino 3,Entro i limiti,6,688,2,115,1,0.029,1452004.9001640026,5220896.7975981
2020,Sardegna,,,0001-CF000105-ST01,,FLUMINI MANNU,Superiore ai limiti,8,95,24,29,5,1.2,998514.3477112965,4764085.791526599
2020,Sardegna,,,0039-CF015401-ST01,,RIU MULARGIA,Entro i limiti,6,130,2,34,1,0.126,1022855.5789929024,4814206.486947763
2020,Campania,CancelloedArnone(CE),PonteGaribaldi,V9,VOLTURNO,VOLTURNO,Superiore ai limiti,2,4,4,2,1,0.29,1562644.457736884,5023001.859947698
2020,Toscana,FIESOLE,,IT09S1061#MAS-606 POT-027,,INVASO DELLA CALVANELLA,Entro i limiti,3,304,7,101,1,0.113,1263504.7618432336,5445268.400107642
2020,Sicilia,Mazara del Vallo,Staz. 27  Arena,IT19RW05401,ARENA,Fiume Delia,Entro i limiti,9,1926,25,207,1,0.77,1406465.772412336,4528526.402998887
2020,Puglia,Palagiano,Fiume Lenne,CA_LN01,Lama di Lenne,Lenne,Superiore ai limiti,4,600,6,143,2,2.64,1894039.892477235,4939601.0974448165
2020,Veneto,VIGASIO,PONTION,1281,FISSERO TARTARO CANALBIANCO,FOSSA LEONA,Entro i limiti,4,345,13,79,2,0.26,1216520.2391062577,5673053.579141063
2020,Basilicata,Grumento Nova,,IT017-AG-P09-F,Agri,,Entro i limiti,7,630,48,83,1,0.4659,1768143.1843127904,4909469.873885498
2020,Sardegna,,,0245-CF000104-ST01,,RIU MANNU DI FLUMINIMAGGIORE,Entro i limiti,8,83,5,21,2,0.29,942127.1294721143,4785953.55472139
2020,Veneto,VICENZA,"LOBIA, PONTE SUL TORRENTE",1150,BACCHIGLIONE,TORRENTE GIARA - OROLO,Entro i limiti,4,344,26,78,6,1.59,1281976.4555621997,5712271.21154415
2020,Veneto,MONTEVIALE,PONTE VIA AMBROSINI,1234,BACCHIGLIONE,ROGGIA DIOMA,Entro i limiti,4,351,6,80,1,0.34,1279208.3999404723,5708947.642042947
2020,Veneto,ARIANO NEL POLESINE,PO DI GORO,IT051070-AT,PO,PO DI GORO,Entro i limiti,4,347,26,80,3,0.74,1374268.7647138024,5595712.571857517
2020,Puglia,Ginosa,Fiume Galaso,CA_GA01,Marina di Ginosa,Galaso,Superiore ai limiti,4,604,12,144,2,3.3011,1878216.1238510788,4926435.760851554
2020,Sicilia,Sortino,F.Anapo Sortino,IT19RW09103,ANAPO,Fiume Anapo,Entro i limiti,1,225,5,219,1,0.088,1675671.4781818113,4459617.663764177
