Anno,Regione,Comune,Localita,Codice stazione,Bacino idrografico,Corpo idrico,Livello di contaminazione,Campioni,Misure,n misure positive,Sostanze cercate,Sostanze trovate,Pesticidi totali,x,y
2020,Lazio,Roma,,L4.27,Arrone Sud,Lago di Martignano,Non quantificabile,5,465,0,92,0,,1370970.08807103,5178195.38719055
2020,Toscana,SANTA MARIA A MONTE,,IT09S1306#MAS-144,,CANALE USCIANA-DEL TERZO MONTE,Superiore ai limiti,3,303,26,101,4,0.606,1203356.64024827,5430303.66413711
2020,Sardegna,,,0302-CF000102-ST01,,RIU CIXERRI,Superiore ai limiti,8,195,7,42,2,0.9822,995947.76561315,4761642.17756495
2020,Lazio,Rieti,,F3.48,Velino,Fiume Velino 4,Entro i limiti,11,1266,3,115,1,0.0012,1418646.4314976,5236831.863995
2020,Lazio,Latina,,F2.11,Moscarello,Canale Acque alte/Moscarello 2,Entro i limiti,6,558,13,92,2,0.19,1430678.9013345,5089832.20490529
2020,Veneto,PERNUMIA,BEVERARA,1156,BACCHIGLIONE,CANALE BAGNAROLO,Entro i limiti,4,324,11,73,1,0.47,1312469.45970508,5663409.22191059
2020,Toscana,AREZZO,,IT09S1623#MAS-513,,TORRENTE MASPINO,Superiore ai limiti,5,508,30,101,4,2.708,1320212.40362823,5386023.56861306
2020,Lazio,Roma,,F4.62,Tevere Basso Corso,Fiume Tevere 5,Superiore ai limiti,10,1150,8,115,1,0.04,1379833.12112989,5130881.87397104
2020,Veneto,VERONA,BOSCO BURI,90,ADIGE,FIUME ADIGE,Entro i limiti,4,362,6,83,1,0.18,1229300.18440122,5688254.59581819
2020,Emilia Romagna,CORTEMAGGIORE,Chiavenna a Chiavenna Landi,1120200,CHIAVENNA,T. CHIAVENNA,Superiore ai limiti,6,579,36,98,2,0.41,1099330.00915121,5622677.75097438
2020,Toscana,PISTOIA,,IT09S1048#POT-012,,TORRENTE OMBRONE_PT MONTE,Entro i limiti,3,304,14,101,2,0.393,1212601.76178045,5460290.12597651
2020,Puglia,Casalnuovo Monterotaro,Fiume Fortore,CA_FF01,Fortore,Fortore_12_2,Entro i limiti,4,480,2,113,1,0.14,1674759.89023859,5108283.00172476
2020,Veneto,MARENO DI PIAVE,PONTE DI VIA SAN FELICE,621,LIVENZA,TORRENTE CERVADA,Superiore ai limiti,4,353,32,88,4,1.85,1377207.35794605,5757814.9843964
2020,Toscana,CASTIGLIONE D'ORCIA,,IT09S1644#MAS-549,,TORRENTE ONZOLA,Entro i limiti,2,204,2,101,1,0.043,1294704.5780433,5315731.99360556
2020,Campania,CastelCampagnano(CE),AmonteconfluenzaFiumeCalore,V5,VOLTURNO,VOLTURNO,Superiore ai limiti,2,4,2,2,1,0.21,1608622.30172334,5041178.61300253
2020,Veneto,JESOLO,TORRE CALIGO,238,SILE,FIUME SILE,Superiore ai limiti,12,1087,66,84,2,0.45,1403985.23769806,5706969.62298726
2020,Veneto,ZIMELLA,CASA LAVAGNO,1288,FRATTA GORZONE,SCOLO CASTELLARO,Entro i limiti,4,346,8,80,2,0.13,1264522.79383372,5674438.60293622
2020,Emilia Romagna,COLORNO,Po a Sacca di Colorno,1000400,ASTA PO,F. PO,Superiore ai limiti,9,898,49,100,3,1.43,1154926.30397604,5616557.33459222
2020,Sardegna,,,0176-CF000106-ST01,,FIUME COGHINAS,Entro i limiti,6,179,6,49,3,0.378,987466.667584553,5000546.32901803
2020,Sardegna,,,0039-CF000109-ST01,,FIUME FLUMENDOSA,Entro i limiti,3,45,2,15,1,0.083,1064066.83365697,4784861.47902035
2020,Emilia Romagna,RICCIONE,"Marano al ponte su via Tortona, zona aeroporto",20000200,MARANO,R. MARANO,Superiore ai limiti,6,591,27,98,3,1.57,1406019.37871374,5467310.22234001
2020,Emilia Romagna,CATTOLICA,Ventena al ponte via Emilia-Romagna,23000200,VENTENA,T. VENTENA,Superiore ai limiti,6,601,53,100,8,6.31,1417416.10783165,5459810.82009617
2020,Toscana,ORBETELLO,,IT09S2315#MAS-2002,,TORRENTE PATRIGNONE,Entro i limiti,3,306,7,101,1,0.144,1259052.80810358,5250234.57930292
2020,Umbria,Bettona,Bettona,IT10CHS2,TEVERE,Fiume Chiascio da L. Valfabbrica a F. Topino,Superiore ai limiti,11,1155,16,101,2,0.61,1392438.08325483,5316928.32992377
2020,Umbria,Marsciano,Pian dei Fossi,IT10GEN1,TEVERE,Torrente Genna,Superiore ai limiti,11,1157,42,101,3,8.57,1368282.7710668,5307298.33090497
2020,Puglia,Porto Cesareo,Baia di Porto Cesareo,AT_PC01,Porto Cesareo,Baia di Porto Cesareo,Entro i limiti,4,542,4,129,1,0.03,1993121.72616291,4902205.40948784
2020,Toscana,FIRENZE,INDIANO CASCINE,IT09S1289#MAS-127,,TORRENTE MUGNONE,Superiore ai limiti,3,304,6,101,1,0.699,1246394.58941029,5433092.15702866
