City,GreenAreaDensity,LowEmission,AutobusStopDensity,CirculatingVehicles,ExposedNoisePollution
Torino,7.46,17.3,24.4,277.0,14.9
Vercelli,1.28,11.2,2.1,77.0,8.8
Novara,1.22,11.9,3.8,246.0,14.7
Biella,33.56,10.1,4.1,189.0,9.3
Cuneo,6.82,10.4,6.3,85.0,3.6
Asti,17.14,11.0,1.9,139.0,36.5
Aosta,0.42,8.3,19.0,42.0,6.0
Imperia,1.11,5.4,8.2,191.0,16.7
Savona,7.82,7.7,6.1,183.0,5.1
Genova,26.26,8.1,1.0,392.0,16.0
La Spezia,24.16,13.2,1.5,220.0,16.3
Varese,45.48,8.7,75.0,650.0,5.1
Como,19.38,7.8,12.4,427.0,1.2
Lecco,20.74,8.3,23.0,371.0,12.7
Sondrio,2.21,4.8,121.0,54.0,9.4
Monza,22.33,10.5,4.6,1.837,12.3
Bergamo,31.5,11.8,9.4,352.0,19.2
Brescia,38.81,13.5,6.4,234.0,20.3
Pavia,18.72,10.9,5.4,160.0,2.8
Lodi,35.53,11.8,14.7,237.0,6.7
Cremona,27.51,11.5,13.6,170.0,9.9
Mantova,21.25,13.0,8.3,165.0,32.9
Bolzano - Bozen,0.11,5.3,6.8,61.0,13.1
Trento,6.65,8.5,2.6,79.0,21.1
Verona,4.68,17.4,4.4,277.0,23.3
Vicenza,1.71,12.9,6.6,290.0,19.9
Belluno,21.44,7.1,2.6,51.0,5.6
Treviso,10.36,12.0,4.9,324.0,9.5
Venezia,62.8,14.9,1.5,257.0,11.8
Padova,0.07,17.1,1.8,389.0,17.3
Rovigo,0.06,23.1,13.3,118.0,6.0
Pordenone,0.0,8.7,13.3,125.0,5.8
Udine,15.48,6.4,5.0,99.0,22.5
Gorizia,7.64,5.0,61.3,258.0,14.8
Piacenza,17.71,16.0,4.1,104.0,23.4
Parma,2.31,21.7,4.3,121.0,6.1
Reggio nell'Emilia,7.14,21.3,2.8,211.0,30.5
Modena,1.14,19.2,5.4,239.0,47.9
Bologna,26.54,24.4,10.7,233.0,17.2
Ferrara,3.04,22.5,1.7,118.0,14.5
Ravenna,29.05,23.4,1.0,203.0,22.4
Forlì,3.17,21.4,2.4,158.0,23.9
Rimini,0.63,21.0,9.3,388.0,17.4
Massa,33.99,14.0,4.2,154.0,7.5
Lucca,10.48,14.3,4.1,211.0,28.0
Pistoia,17.73,13.3,5.4,266.0,32.4
Firenze,10.91,13.5,23.7,244.0,49.0
Prato,31.35,12.4,8.6,585.0,9.1
Livorno,29.71,11.0,5.8,269.0,16.1
Pisa,42.88,14.6,4.4,162.0,17.9
Arezzo,7.08,15.1,2.1,102.0,6.2
Siena,7.8,11.6,7.6,70.0,11.2
Grosseto,32.79,10.0,1.0,49.0,13.5
Perugia,15.97,17.1,2.8,103.0,5.5
Terni,20.74,16.3,2.7,101.0,15.8
Pesaro,20.52,21.0,5.5,135.0,7.3
Ancona,25.35,25.5,6.7,219.0,21.2
Ascoli Piceno,9.51,17.4,4.2,164.0,4.3
Viterbo,5.02,10.0,0.9,86.0,3.0
Roma,32.24,14.0,6.6,658.0,6.7
Latina,4.44,11.4,13.3,234.0,3.9
Frosinone,0.01,12.5,3.2,146.0,4.5
L'Aquila,50.09,10.4,2.1,57.0,5.8
Teramo,2.97,15.8,1.4,150.0,3.8
Pescara,1.79,14.0,24.7,228.0,21.9
Chieti,0.0,11.8,16.3,143.0,16.4
Campobasso,3.67,11.7,9.1,72.0,6.3
Benevento,0.0,11.8,2.8,121.0,1.7
Napoli,24.06,14.7,24.6,2.107,3.7
Avellino,0.0,13.8,19.9,130.0,5.7
Salerno,0.05,12.6,6.6,199.0,7.8
Andria,36.09,7.5,0.6,189.0,2.1
Bari,1.94,12.5,26.1,245.0,3.8
Taranto,8.49,8.5,3.6,181.0,3.7
Brindisi,10.56,9.0,1.1,180.0,4.8
Lecce,12.78,11.6,1.8,252.0,6.3
Potenza,0.86,9.0,1.4,51.0,7.7
Cosenza,0.0,5.1,8.3,97.0,7.8
Crotone,14.14,4.9,0.6,85.0,5.0
Catanzaro,0.0,5.5,4.0,131.0,3.5
Vibo Valentia,0.05,4.6,1.6,129.0,12.7
Reggio di Calabria,17.46,5.4,5.0,154.0,2.9
Trapani,5.07,5.1,2.3,164.0,3.3
Palermo,29.38,7.6,14.2,218.0,24.7
Messina,70.61,5.3,6.2,185.0,9.5
Caltanissetta,4.45,4.3,0.6,104.0,8.4
Catania,15.05,6.5,18.7,330.0,5.7
Ragusa,6.5,5.9,0.7,194.0,16.5
Siracusa,5.74,5.5,2.0,180.0,17.9
Sassari,2.63,4.5,1.4,58.0,10.6
Nuoro,11.24,3.4,1.5,35.0,5.8
Cagliari,51.86,5.1,12.6,302.0,23.4
