,Codice stazione,Sostanza,Conc_max,Comune
0,IT07CDCDFOCE,METAFLUMIZONE,0.0,Ceriale
1,IT07CDCDFOCE,TRIFLURALIN,0.0,Ceriale
2,IT07AGAG04,FENTION,0.0,Taggia
3,IT07MAMA02,PROPICONAZOLO,0.0,Vezzano Ligure
4,IT07MAMA02,LINURON,0.0,Vezzano Ligure
5,IT07AGAG04,GLIFOSATE,0.0,Taggia
6,IT07AGAG04,MCPA,0.0,Taggia
7,IT07CDCDFOCE,SIMAZINA,0.0,Ceriale
8,IT07AGAG04,DIMETOATO,0.0,Taggia
9,IT07AGAG04,OMETOATO,0.0,Taggia
10,IT07AGAG04,TERBUTILAZINA,0.0,Taggia
11,IT07AGAG04,ESACLOROCICLOESANO gamma,0.0,Taggia
12,IT07AGAG04,"2,4,5-TRICLOROFENOSSIACETICO ACIDO",0.0,Taggia
13,IT07AGAG04,AMPA,0.0,Taggia
14,IT07AGAG04,ENDOSULFAN-SOLFATO,0.0,Taggia
15,IT07AGAG04,METAMIDOFOS,0.0,Taggia
16,IT07AGAG04,PARATION-ETILE,0.0,Taggia
17,IT07AGAG04,"DDD, op",0.0,Taggia
18,IT07AGAG04,MECOPROP,0.0,Taggia
19,IT07AGAG04,"DDT, pp",0.0,Taggia
20,IT07AGAG04,TERBUTRINA,0.0,Taggia
21,IT07AGAG04,CLORFENVINFOS,0.0,Taggia
22,IT07AGAG04,BIFENOX,0.0,Taggia
23,IT07AGAG04,FOSETIL-ALLUMINIO,0.0,Taggia
24,IT07AGAG04,"DDE, op",0.0,Taggia
25,IT07AGAG04,ISOPROTURON,0.0,Taggia
26,IT07AGAG04,"ENDOSULFAN, beta",0.0,Taggia
27,IT07AGAG04,LINURON,0.0,Taggia
28,IT07AGAG04,DIURON,0.0,Taggia
29,IT07AGAG04,ESACLOROCICLOESANO delta,0.0,Taggia
30,IT07AGAG04,ESACLOROCICLOESANO beta,0.0,Taggia
31,IT07AGAG04,ESACLOROCICLOESANO alfa,0.0,Taggia
32,IT07AGAG04,DEMETON-O,0.0,Taggia
33,IT07AGAG04,PARATION-METILE,0.0,Taggia
34,IT07AGAG04,CLORPIRIFOS,0.0,Taggia
35,IT07AGAG04,CIBUTRINA,0.0,Taggia
36,IT07AGAG04,AZINFOS-ETILE,0.0,Taggia
37,IT07CDCDFOCE,BOSCALID,0.32,Ceriale
38,IT07CDCDFOCE,PIRACLOSTROBIN,0.01,Ceriale
39,IT07CDCDFOCE,METOSSIFENOZIDE,0.08,Ceriale
40,IT07CDCDFOCE,AZOSSISTROBINA,0.28,Ceriale
41,IT07CDCDFOCE,FENHEXAMID,0.08,Ceriale
42,IT07CDCDFOCE,CIPRODINIL,0.22,Ceriale
43,IT07CDCDFOCE,DIMETOMORF,0.49,Ceriale
44,IT07CDCDFOCE,GLIFOSATE,19.0,Ceriale
45,IT07CDCDFOCE,AMPA,8.1,Ceriale
46,IT07CDCDFOCE,CARBENDAZIM,0.32,Ceriale
47,IT07CDCDFOCE,MCPA,0.06,Ceriale
48,IT07CDCDFOCE,DIMETOATO,0.02,Ceriale
49,IT07CDCDFOCE,"2,4-DICLOROFENOSSIACETICO ACIDO",0.02,Ceriale
50,IT07CDCDFOCE,FOSETIL-ALLUMINIO,0.04,Ceriale
51,IT07CDCDFOCE,OMETOATO,0.0,Ceriale
52,IT07CDCDFOCE,MALATION,0.0,Ceriale
