,Codice stazione,Sostanza,Conc_max,Comune
37,IT07CDCDFOCE,BOSCALID,0.32,Ceriale
38,IT07CDCDFOCE,PIRACLOSTROBIN,0.01,Ceriale
39,IT07CDCDFOCE,METOSSIFENOZIDE,0.08,Ceriale
40,IT07CDCDFOCE,AZOSSISTROBINA,0.28,Ceriale
41,IT07CDCDFOCE,FENHEXAMID,0.08,Ceriale
42,IT07CDCDFOCE,CIPRODINIL,0.22,Ceriale
43,IT07CDCDFOCE,DIMETOMORF,0.49,Ceriale
44,IT07CDCDFOCE,GLIFOSATE,19.0,Ceriale
45,IT07CDCDFOCE,AMPA,8.1,Ceriale
46,IT07CDCDFOCE,CARBENDAZIM,0.32,Ceriale
47,IT07CDCDFOCE,MCPA,0.06,Ceriale
48,IT07CDCDFOCE,DIMETOATO,0.02,Ceriale
49,IT07CDCDFOCE,"2,4-DICLOROFENOSSIACETICO ACIDO",0.02,Ceriale
50,IT07CDCDFOCE,FOSETIL-ALLUMINIO,0.04,Ceriale
87,IT07CTCT02M,AMPA,0.09,Albenga
88,IT07CTCT02M,GLIFOSATE,0.07,Albenga
268,IT07CDCDFOCE,FLUOPICOLIDE,0.02,Ceriale
269,IT07CDCDFOCE,PENCONAZOLO,0.02,Ceriale
270,IT07CDCDFOCE,PROPICONAZOLO,0.01,Ceriale
271,IT07CDCDFOCE,METALAXIL,0.57,Ceriale
272,IT07CDCDFOCE,PIRIMETANIL,0.04,Ceriale
273,IT07CDCDFOCE,CLORANTRANILIPROLO,0.11,Ceriale
922,N010RF1,PROCIMIDONE,0.115,Avezzano
2164,R1305PM3,METALAXIL,0.025,Città Sant' Angelo
2250,R1311MR3A,IMIDACLOPRID,0.021,Ortona
2372,R1302SL7,TERBUTILAZINA (incluso metabolita),0.034,Mosciano Sant'Angelo
2447,IT017-BR-P02-F,BOSCALID,0.0012,Montescaglioso
2650,IT017-OF04,METALAXIL-M,0.0125,Melfi
2651,IT017-OF04,BENALAXIL,0.005,Melfi
2764,IT017-AG02,TERBUTRINA,0.0006,Aliano
2765,IT017-AG02,MICLOBUTANIL,0.0012,Aliano
2766,IT017-AG02,TEBUCONAZOLO,0.003,Aliano
2767,IT017-AG02,2-IDROSSITERBUTILAZINA,0.0008,Aliano
2768,IT017-AG02,BOSCALID,0.0034,Aliano
2769,IT017-AG02,AZOSSISTROBINA,0.0015,Aliano
2770,IT017-AG02,PIRACLOSTROBIN,0.0009,Aliano
2771,IT017-AG02,METOLACLOR,0.0003,Aliano
2772,IT017-AG02,CIPRODINIL,0.0024,Aliano
2773,IT017-AG02,DIFENOCONAZOLO,0.0003,Aliano
2806,IT017-AG03,CLORANTRANILIPROLO,0.0004,Scanzano Jonico
2807,IT017-AG03,CLORPIRIFOS,0.0006,Scanzano Jonico
2808,IT017-AG03,BOSCALID,0.0038,Scanzano Jonico
2809,IT017-AG03,MICLOBUTANIL,0.0025,Scanzano Jonico
2810,IT017-AG03,AZOSSISTROBINA,0.0037,Scanzano Jonico
2811,IT017-AG03,TERBUTRINA,0.0019,Scanzano Jonico
2812,IT017-AG03,TEBUCONAZOLO,0.0047,Scanzano Jonico
2813,IT017-AG03,DIMETOMORF,0.0015,Scanzano Jonico
2814,IT017-AG03,METALAXIL-M,0.0029,Scanzano Jonico
2815,IT017-AG03,MCPA,0.0039,Scanzano Jonico
2816,IT017-AG03,"2,4-DICLOROFENOSSIACETICO ACIDO",0.0025,Scanzano Jonico
2817,IT017-AG03,2-IDROSSITERBUTILAZINA,0.0005,Scanzano Jonico
2818,IT017-AG03,CIPRODINIL,0.0067,Scanzano Jonico
2845,IT017-AG-P03-F,DIMETOMORF,0.002,Aliano
2846,IT017-AG-P03-F,TOLCLOFOS-METILE,0.0018,Aliano
2847,IT017-AG-P03-F,AZOSSISTROBINA,0.0002,Aliano
2848,IT017-AG-P03-F,2-IDROSSITERBUTILAZINA,0.0003,Aliano
2849,IT017-AG-P03-F,TEBUCONAZOLO,0.0007,Aliano
2850,IT017-AG-P03-F,"2,4-DICLOROFENOSSIACETICO ACIDO",0.002,Aliano
2851,IT017-AG-P03-F,TERBUTRINA,0.0012,Aliano
2899,IT017-AG-P04-F,2-IDROSSITERBUTILAZINA,0.0004,Sarconi
2900,IT017-AG-P04-F,AZOSSISTROBINA,0.0004,Sarconi
2901,IT017-AG-P04-F,DIMETOMORF,0.0002,Sarconi
2902,IT017-AG-P04-F,MICLOBUTANIL,0.00026000000000000003,Sarconi
2903,IT017-AG-P04-F,IOXINIL,0.0037,Sarconi
2904,IT017-AG-P04-F,ISOXAFLUTOLE,0.001266,Sarconi
2905,IT017-AG-P04-F,BOSCALID,0.00029,Sarconi
2906,IT017-AG-P04-F,METOLACLOR,0.0009,Sarconi
2969,IT017-AG-P05-F,AZOSSISTROBINA,0.0007,Grumento Nova
3020,IT017-AG-P09-F,AZOSSISTROBINA,0.0024,Grumento Nova
3021,IT017-AG-P09-F,BOSCALID,0.0003,Grumento Nova
3022,IT017-AG-P09-F,2-IDROSSITERBUTILAZINA,0.0258,Grumento Nova
3023,IT017-AG-P09-F,ISOXAFLUTOLE,0.3967,Grumento Nova
3024,IT017-AG-P09-F,TEBUCONAZOLO,0.0008,Grumento Nova
3025,IT017-AG-P09-F,METOLACLOR,0.0003,Grumento Nova
3026,IT017-AG-P09-F,"2,4-DICLOROFENOSSIACETICO ACIDO",0.0106,Grumento Nova
3027,IT017-AG-P09-F,CLORANTRANILIPROLO,0.0002,Grumento Nova
3028,IT017-AG-P09-F,TIABENDAZOLO,0.0004,Grumento Nova
3029,IT017-AG-P09-F,TERBUTRINA,0.0005,Grumento Nova
3030,IT017-AG-P09-F,DIMETOMORF,0.0009,Grumento Nova
3031,IT017-AG-P09-F,MICLOBUTANIL,0.00026000000000000003,Grumento Nova
3032,IT017-AG-P09-F,"DDT, pp",0.0005,Grumento Nova
3033,IT017-AG-P09-F,TETRACONAZOLO,0.001,Grumento Nova
3100,IT017-AG-P11-F,AZOSSISTROBINA,0.0002,Marsicovetere
3101,IT017-AG-P11-F,TEBUCONAZOLO,0.0219,Marsicovetere
3102,IT017-AG-P11-F,CLORANTRANILIPROLO,0.0002,Marsicovetere
3103,IT017-AG-P11-F,DIMETOMORF,0.0026,Marsicovetere
3104,IT017-AG-P11-F,METOLACLOR,0.0005,Marsicovetere
3105,IT017-AG-P11-F,2-IDROSSITERBUTILAZINA,0.0004,Marsicovetere
3106,IT017-AG-P11-F,TERBUTRINA,0.0015,Marsicovetere
3174,IT017-AG-P13-L,AZOSSISTROBINA,0.0003,Marsico Nuovo
3175,IT017-AG-P13-L,TEBUCONAZOLO,0.0043,Marsico Nuovo
3176,IT017-AG-P13-L,METOLACLOR,0.001,Marsico Nuovo
3222,IT017-BR01,TEBUCONAZOLO,0.0033,Irsina
3223,IT017-BR01,TERBUTRINA,0.0015,Irsina
3224,IT017-BR01,BOSCALID,0.0004,Irsina
3225,IT017-BR01,AZOSSISTROBINA,0.0033,Irsina
3226,IT017-BR01,DIMETOMORF,0.0022,Irsina
3227,IT017-BR01,MESOSULFURON-METILE,0.0012,Irsina
3228,IT017-BR01,CIPROCONAZOLO,0.0005099999999999999,Irsina
3276,IT017-BR-P01-F,CIPROCONAZOLO,0.00372,Bernalda
3277,IT017-BR-P01-F,BOSCALID,0.0014,Bernalda
3278,IT017-BR-P01-F,"2,4-DICLOROFENOSSIACETICO ACIDO",0.019,Bernalda
3279,IT017-BR-P01-F,PROPOXUR,0.0005099999999999999,Bernalda
3280,IT017-BR-P01-F,MICLOBUTANIL,0.00031,Bernalda
3281,IT017-BR-P01-F,TERBUTRINA,0.0023,Bernalda
3282,IT017-BR-P01-F,PROPICONAZOLO,0.00033999999999999997,Bernalda
3283,IT017-BR-P01-F,CLORIDAZON,0.00011,Bernalda
3284,IT017-BR-P01-F,AZOSSISTROBINA,0.0042,Bernalda
3285,IT017-BR-P01-F,TETRACONAZOLO,0.00117,Bernalda
3286,IT017-BR-P01-F,TIABENDAZOLO,0.00039,Bernalda
3287,IT017-BR-P01-F,TEBUCONAZOLO,0.00385,Bernalda
3288,IT017-BR-P01-F,METOLACLOR,0.0002,Bernalda
3289,IT017-BR-P01-F,DIURON,0.0085,Bernalda
3290,IT017-BR-P01-F,MESOSULFURON-METILE,0.00049,Bernalda
3291,IT017-BR-P01-F,DIMETOMORF,0.00018999999999999998,Bernalda
