Comune,Codice stazione,Sostanza,Conc_max
ceriale,IT07CDCDFOCE,METAFLUMIZONE,0.0
ceriale,IT07CDCDFOCE,TRIFLURALIN,0.0
taggia,IT07AGAG04,FENTION,0.0
vezzano ligure,IT07MAMA02,PROPICONAZOLO,0.0
vezzano ligure,IT07MAMA02,LINURON,0.0
taggia,IT07AGAG04,GLIFOSATE,0.0
taggia,IT07AGAG04,MCPA,0.0
ceriale,IT07CDCDFOCE,SIMAZINA,0.0
taggia,IT07AGAG04,DIMETOATO,0.0
taggia,IT07AGAG04,OMETOATO,0.0
taggia,IT07AGAG04,TERBUTILAZINA,0.0
taggia,IT07AGAG04,ESACLOROCICLOESANO gamma,0.0
taggia,IT07AGAG04,"2,4,5-TRICLOROFENOSSIACETICO ACIDO",0.0
taggia,IT07AGAG04,AMPA,0.0
taggia,IT07AGAG04,ENDOSULFAN-SOLFATO,0.0
taggia,IT07AGAG04,METAMIDOFOS,0.0
taggia,IT07AGAG04,PARATION-ETILE,0.0
taggia,IT07AGAG04,"DDD, op",0.0
taggia,IT07AGAG04,MECOPROP,0.0
taggia,IT07AGAG04,"DDT, pp",0.0
taggia,IT07AGAG04,TERBUTRINA,0.0
taggia,IT07AGAG04,CLORFENVINFOS,0.0
taggia,IT07AGAG04,BIFENOX,0.0
taggia,IT07AGAG04,FOSETIL-ALLUMINIO,0.0
taggia,IT07AGAG04,"DDE, op",0.0
taggia,IT07AGAG04,ISOPROTURON,0.0
taggia,IT07AGAG04,"ENDOSULFAN, beta",0.0
taggia,IT07AGAG04,LINURON,0.0
taggia,IT07AGAG04,DIURON,0.0
taggia,IT07AGAG04,ESACLOROCICLOESANO delta,0.0
taggia,IT07AGAG04,ESACLOROCICLOESANO beta,0.0
taggia,IT07AGAG04,ESACLOROCICLOESANO alfa,0.0
taggia,IT07AGAG04,DEMETON-O,0.0
taggia,IT07AGAG04,PARATION-METILE,0.0
taggia,IT07AGAG04,CLORPIRIFOS,0.0
taggia,IT07AGAG04,CIBUTRINA,0.0
taggia,IT07AGAG04,AZINFOS-ETILE,0.0
ceriale,IT07CDCDFOCE,BOSCALID,0.32
ceriale,IT07CDCDFOCE,PIRACLOSTROBIN,0.01
ceriale,IT07CDCDFOCE,METOSSIFENOZIDE,0.08
ceriale,IT07CDCDFOCE,AZOSSISTROBINA,0.28
ceriale,IT07CDCDFOCE,FENHEXAMID,0.08
ceriale,IT07CDCDFOCE,CIPRODINIL,0.22
ceriale,IT07CDCDFOCE,DIMETOMORF,0.49
ceriale,IT07CDCDFOCE,GLIFOSATE,19.0
ceriale,IT07CDCDFOCE,AMPA,8.1
ceriale,IT07CDCDFOCE,CARBENDAZIM,0.32
ceriale,IT07CDCDFOCE,MCPA,0.06
ceriale,IT07CDCDFOCE,DIMETOATO,0.02
ceriale,IT07CDCDFOCE,"2,4-DICLOROFENOSSIACETICO ACIDO",0.02
ceriale,IT07CDCDFOCE,FOSETIL-ALLUMINIO,0.04
ceriale,IT07CDCDFOCE,OMETOATO,0.0
ceriale,IT07CDCDFOCE,MALATION,0.0
ceriale,IT07CDCDFOCE,ALACLOR,0.0
ceriale,IT07CDCDFOCE,ATRAZINA,0.0
ceriale,IT07CDCDFOCE,BENTAZONE,0.0
ceriale,IT07CDCDFOCE,AZINFOS-ETILE,0.0
ceriale,IT07CDCDFOCE,CIBUTRINA,0.0
ceriale,IT07CDCDFOCE,CLORPIRIFOS,0.0
ceriale,IT07CDCDFOCE,PARATION-METILE,0.0
ceriale,IT07CDCDFOCE,DEMETON-O,0.0
ceriale,IT07CDCDFOCE,ESACLOROCICLOESANO alfa,0.0
ceriale,IT07CDCDFOCE,ESACLOROCICLOESANO beta,0.0
ceriale,IT07CDCDFOCE,ESACLOROCICLOESANO delta,0.0
ceriale,IT07CDCDFOCE,DIURON,0.0
ceriale,IT07CDCDFOCE,LINURON,0.0
ceriale,IT07CDCDFOCE,"ENDOSULFAN, beta",0.0
ceriale,IT07CDCDFOCE,ISOPROTURON,0.0
ceriale,IT07CDCDFOCE,"DDE, op",0.0
ceriale,IT07CDCDFOCE,BIFENOX,0.0
ceriale,IT07CDCDFOCE,CLORFENVINFOS,0.0
ceriale,IT07CDCDFOCE,"DDT, pp",0.0
ceriale,IT07CDCDFOCE,"DDD, op",0.0
ceriale,IT07CDCDFOCE,FENTION,0.0
ceriale,IT07CDCDFOCE,PARATION-ETILE,0.0
ceriale,IT07CDCDFOCE,ESACLOROCICLOESANO gamma,0.0
ceriale,IT07CDCDFOCE,TERBUTILAZINA,0.0
ceriale,IT07CDCDFOCE,ESACLOROCICLOESANO,0.0
