Comune,Codice stazione,Sostanza,Conc_max
ceriale,IT07CDCDFOCE,BOSCALID,0.32
ceriale,IT07CDCDFOCE,PIRACLOSTROBIN,0.01
ceriale,IT07CDCDFOCE,METOSSIFENOZIDE,0.08
ceriale,IT07CDCDFOCE,AZOSSISTROBINA,0.28
ceriale,IT07CDCDFOCE,FENHEXAMID,0.08
ceriale,IT07CDCDFOCE,CIPRODINIL,0.22
ceriale,IT07CDCDFOCE,DIMETOMORF,0.49
ceriale,IT07CDCDFOCE,GLIFOSATE,19.0
ceriale,IT07CDCDFOCE,AMPA,8.1
ceriale,IT07CDCDFOCE,CARBENDAZIM,0.32
ceriale,IT07CDCDFOCE,MCPA,0.06
ceriale,IT07CDCDFOCE,DIMETOATO,0.02
ceriale,IT07CDCDFOCE,"2,4-DICLOROFENOSSIACETICO ACIDO",0.02
ceriale,IT07CDCDFOCE,FOSETIL-ALLUMINIO,0.04
albenga,IT07CTCT02M,AMPA,0.09
albenga,IT07CTCT02M,GLIFOSATE,0.07
ceriale,IT07CDCDFOCE,FLUOPICOLIDE,0.02
ceriale,IT07CDCDFOCE,PENCONAZOLO,0.02
ceriale,IT07CDCDFOCE,PROPICONAZOLO,0.01
ceriale,IT07CDCDFOCE,METALAXIL,0.57
ceriale,IT07CDCDFOCE,PIRIMETANIL,0.04
ceriale,IT07CDCDFOCE,CLORANTRANILIPROLO,0.11
avezzano,N010RF1,PROCIMIDONE,0.115
città sant' angelo,R1305PM3,METALAXIL,0.025
ortona,R1311MR3A,IMIDACLOPRID,0.021
mosciano sant'angelo,R1302SL7,TERBUTILAZINA (incluso metabolita),0.034
montescaglioso,IT017-BR-P02-F,BOSCALID,0.0012
melfi,IT017-OF04,METALAXIL-M,0.0125
melfi,IT017-OF04,BENALAXIL,0.005
aliano,IT017-AG02,TERBUTRINA,0.0006
aliano,IT017-AG02,MICLOBUTANIL,0.0012
aliano,IT017-AG02,TEBUCONAZOLO,0.003
aliano,IT017-AG02,2-IDROSSITERBUTILAZINA,0.0008
aliano,IT017-AG02,BOSCALID,0.0034
aliano,IT017-AG02,AZOSSISTROBINA,0.0015
aliano,IT017-AG02,PIRACLOSTROBIN,0.0009
aliano,IT017-AG02,METOLACLOR,0.0003
aliano,IT017-AG02,CIPRODINIL,0.0024
aliano,IT017-AG02,DIFENOCONAZOLO,0.0003
scanzano jonico,IT017-AG03,CLORANTRANILIPROLO,0.0004
scanzano jonico,IT017-AG03,CLORPIRIFOS,0.0006
scanzano jonico,IT017-AG03,BOSCALID,0.0038
scanzano jonico,IT017-AG03,MICLOBUTANIL,0.0025
scanzano jonico,IT017-AG03,AZOSSISTROBINA,0.0037
scanzano jonico,IT017-AG03,TERBUTRINA,0.0019
scanzano jonico,IT017-AG03,TEBUCONAZOLO,0.0047
scanzano jonico,IT017-AG03,DIMETOMORF,0.0015
scanzano jonico,IT017-AG03,METALAXIL-M,0.0029
scanzano jonico,IT017-AG03,MCPA,0.0039
scanzano jonico,IT017-AG03,"2,4-DICLOROFENOSSIACETICO ACIDO",0.0025
scanzano jonico,IT017-AG03,2-IDROSSITERBUTILAZINA,0.0005
scanzano jonico,IT017-AG03,CIPRODINIL,0.0067
aliano,IT017-AG-P03-F,DIMETOMORF,0.002
aliano,IT017-AG-P03-F,TOLCLOFOS-METILE,0.0018
aliano,IT017-AG-P03-F,AZOSSISTROBINA,0.0002
aliano,IT017-AG-P03-F,2-IDROSSITERBUTILAZINA,0.0003
aliano,IT017-AG-P03-F,TEBUCONAZOLO,0.0007
