Macrocomune,Sostanza,Conc_max
Agrigento,1-ACIDO NAFTILACETICO,0.011
Agrigento,"2,4-DICLOROFENOSSIACETICO ACIDO",0.0139999999999999
Agrigento,ACETAMIPRID,0.071
Agrigento,AMPA,5.47
Agrigento,AZOSSISTROBINA,0.005
Agrigento,BENTAZONE,0.0069999999999999
Agrigento,BOSCALID,0.057
Agrigento,BROMACILE,0.01
Agrigento,BUPIRIMATE,0.002
Agrigento,CARBENDAZIM,0.04
Agrigento,CIPROCONAZOLO,0.05
Agrigento,CIPRODINIL,0.009
Agrigento,CLORANTRANILIPROLO,0.05
Agrigento,CLORDANO-alfa,0.001
Agrigento,"DDE, op",0.0006
Agrigento,DICLORVOS,0.00018
Agrigento,DIMETOATO,0.025
Agrigento,DIURON,0.122
Agrigento,FENHEXAMID,0.08
Agrigento,FLONICAMID,0.015
Agrigento,FLUDIOXONIL,0.01
Agrigento,FURALAXIL,0.002
Agrigento,GLIFOSATE,5.8
Agrigento,IMIDACLOPRID,0.179
Agrigento,ISOPROTURON,0.0069999999999999
Agrigento,MCPA,0.02
Agrigento,MECOPROP,0.14
Agrigento,METALAXIL,0.03
Agrigento,METOSSIFENOZIDE,0.009
Agrigento,MICLOBUTANIL,0.157
Agrigento,PARATION-METILE,0.011
Agrigento,PENCONAZOLO,0.1969999999999999
Agrigento,PICLORAM,0.006
Agrigento,PIRIMETANIL,0.01
Agrigento,PIRIMICARB,0.013
Agrigento,PROPAMOCARB,0.015
Agrigento,SPIROXAMINA,0.008
Agrigento,TEBUCONAZOLO,0.035
Agrigento,TEFLUTRIN,0.013
Agrigento,TERBUTRINA,0.011
Agrigento,TETRACONAZOLO,0.02
Agrigento,TIABENDAZOLO,0.002
Agrigento,TIACLOPRID,0.005
Agrigento,TIAMETOXAM,0.009
Agrigento,TIOPHANATE-METHYL,0.005
Agrigento,TRANS-CHLORDANE,0.001
Ancona,ACLONIFEN,0.046
Ancona,DIMETOATO,0.13
Ancona,DIURON,0.07
Ancona,TERBUTRINA,0.023
