Macrocomune,Sostanza,Conc_max
Agrigento,1-ACIDO NAFTILACETICO,0.011
Agrigento,"2,4,5-TRICLOROFENOSSIACETICO ACIDO",0.0
Agrigento,"2,4-DICLOROFENOSSIACETICO ACIDO",0.0139999999999999
Agrigento,ACEFATE,0.0
Agrigento,ACETAMIPRID,0.071
Agrigento,ACIBENZOLAR S METILE,0.0
Agrigento,ACLONIFEN,0.0
Agrigento,ACRINATRINA,0.0
Agrigento,ALACLOR,0.0
Agrigento,ALDICARB,0.0
Agrigento,ALDICARBSULFONE,0.0
Agrigento,ALDICARBSULFOSSIDO,0.0
Agrigento,ALFACIPERMETRINA,0.0
Agrigento,AMETRINA,0.0
Agrigento,AMIDOSULFURON,0.0
Agrigento,AMITRAZ,0.0
Agrigento,AMPA,5.47
Agrigento,ASULAME,0.0
Agrigento,ATRAZINA,0.0
Agrigento,ATRAZINA DESETIL,0.0
Agrigento,ATRAZINA DESISOPROPIL,0.0
Agrigento,AZINFOS-ETILE,0.0
Agrigento,AZINFOS-METILE,0.0
Agrigento,AZOSSISTROBINA,0.005
Agrigento,BENALAXIL,0.0
Agrigento,BENFURACARB,0.0
Agrigento,BENOMIL,0.0
Agrigento,BENTAZONE,0.0069999999999999
Agrigento,BIFENOX,0.0
Agrigento,BITERTANOLO,0.0
Agrigento,BOSCALID,0.057
Agrigento,BROMACILE,0.01
Agrigento,BROMOPROPILATO,0.0
Agrigento,BROMOXINIL-FENOLO,0.0
Agrigento,BUPIRIMATE,0.002
Agrigento,BUPROFEZIN,0.0
Agrigento,CADUSAFOS,0.0
Agrigento,CAPTANO,0.0
Agrigento,CARBARIL,0.0
Agrigento,CARBENDAZIM,0.04
Agrigento,CARBOFURAN,0.0
Agrigento,CHINOSSIFEN,0.0
Agrigento,CIAZOFAMID,0.0
Agrigento,CIBUTRINA,0.0
Agrigento,CIMOXANIL,0.0
Agrigento,CIPERMETRINA theta,0.0
Agrigento,CIPERMETRINA zeta,0.0
Agrigento,CIPROCONAZOLO,0.05
Agrigento,CIPRODINIL,0.009
Agrigento,CIROMAZINA,0.0
Agrigento,CLODINAFOP-PROPARGIL,0.0
Agrigento,CLOMAZONE,0.0
Agrigento,CLOPYRALID,0.0
Agrigento,CLORANTRANILIPROLO,0.05
Agrigento,CLORDANO-alfa,0.001
Agrigento,CLORFENVINFOS,0.0
Agrigento,CLORIDAZON,0.0
Agrigento,CLOROTALONIL,0.0
Agrigento,CLOROTOLURON,0.0
Agrigento,CLORPIRIFOS,0.0
Agrigento,CLORPIRIFOS-METILE,0.0
Agrigento,CLORSULFURON,0.0
Agrigento,CLOTHIANIDIN,0.0
Agrigento,CUMAFOS,0.0
Agrigento,"DDD, op",0.0
Agrigento,"DDE, op",0.0006
Agrigento,"DDT, pp",0.0
Agrigento,DEMETON-S-METILE-SOLFONE,0.0
Agrigento,DICLORAN,0.0
Agrigento,DICLORVOS,0.00018
Agrigento,DICOFOL,0.0
Agrigento,DIFENAMIDE,0.0
Agrigento,DIFLUBENZURON,0.0
Agrigento,DIMETOATO,0.025
Agrigento,DIMETOMORF,0.0
Agrigento,DISULFOTON,0.0
Agrigento,DIURON,0.122
Agrigento,DODEMORF,0.0
Agrigento,DODINA,0.0
Agrigento,"ENDOSULFAN, alfa",0.0
Agrigento,"ENDOSULFAN, beta",0.0
Agrigento,ENDOSULFAN-SOLFATO,0.0
Agrigento,EPTACLORO ENDO EPOSSIDO,0.0
Agrigento,EPTENOFOS,0.0
Agrigento,ESACLOROBENZENE,0.0
Agrigento,ESACLOROCICLOESANO alfa,0.0
Agrigento,ESACLOROCICLOESANO beta,0.0
Agrigento,ESACLOROCICLOESANO delta,0.0
Agrigento,ESACLOROCICLOESANO gamma,0.0
Agrigento,ESAFLUMURON,0.0
Agrigento,ETOFENPROX,0.0
Agrigento,ETOFUMESATE,0.0
Agrigento,ETOPROFOS,0.0
Agrigento,ETOXAZOLO,0.0
Agrigento,EXITIAZOX,0.0
Agrigento,FAMOXADONE,0.0
Agrigento,FENAMIDONE,0.0
Agrigento,FENAMIFOS,0.0
Agrigento,FENARIMOL,0.0
Agrigento,FENAZAQUIN,0.0
Agrigento,FENBUCONAZOLO,0.0
Agrigento,FENHEXAMID,0.08
Agrigento,FENITROTION,0.0
Agrigento,FENPIROXIMATE,0.0
Agrigento,FENPROPIMORF,0.0
Agrigento,FENTION,0.0
Agrigento,FLONICAMID,0.015
Agrigento,FLORASULAM,0.0
Agrigento,FLUAZIFOP-P-BUTILE,0.0
Agrigento,FLUDIOXONIL,0.01
Agrigento,FLUFENOXURON,0.0
Agrigento,FLUROXIPIR,0.0
Agrigento,FOLPET,0.0
Agrigento,FORATE,0.0
Agrigento,FOSMET,0.0
Agrigento,FOSTIAZATE,0.0
Agrigento,FURALAXIL,0.002
Agrigento,GLIFOSATE,5.8
Agrigento,GLUFOSINATE-AMMONIO,0.0
Agrigento,IMAZALIL,0.0
Agrigento,IMAZAMOX,0.0
Agrigento,IMAZAPIR,0.0
Agrigento,IMIDACLOPRID,0.179
Agrigento,INDOXACARB,0.0
Agrigento,IODOSULFURON-METILE-SODIO,0.0
Agrigento,IOXINIL,0.0
Agrigento,IPROVALICARB,0.0
Agrigento,ISOPROTURON,0.0069999999999999
Agrigento,ISOXABEN,0.0
Agrigento,KRESOXIM-METILE,0.0
Agrigento,LENACIL,0.0
Agrigento,LINURON,0.0
Agrigento,LUFENURON,0.0
Agrigento,MALATION,0.0
Agrigento,MCPA,0.02
Agrigento,MECOPROP,0.14
Agrigento,MEPANIPYRIM,0.0
Agrigento,MESOSULFURON-METILE,0.0
Agrigento,METABENZTIAZURON,0.0
Agrigento,METALAXIL,0.03
Agrigento,METAMIDOFOS,0.0
Agrigento,METAMITRON,0.0
Agrigento,METAZACLOR,0.0
Agrigento,METIDATION,0.0
Agrigento,METIOCARB,0.0
Agrigento,METOLACLOR,0.0
Agrigento,METOMIL,0.0
Agrigento,METOSSIFENOZIDE,0.009
Agrigento,METOXURON,0.0
Agrigento,METRAFENONE,0.0
Agrigento,METRIBUZIN,0.0
Agrigento,METSULFURON-METILE,0.0
Agrigento,MEVINPHOS,0.0
Agrigento,MICLOBUTANIL,0.157
Agrigento,MONOCROTOFOS,0.0
Agrigento,MONOLINURON,0.0
Agrigento,NAPROPAMIDE,0.0
Agrigento,NICOSULFURON,0.0
Agrigento,OMETOATO,0.0
Agrigento,OSSIDEMETON-METILE,0.0
Agrigento,OXADIXIL,0.0
Agrigento,OXAMIL,0.0
Agrigento,OXIFLUORFEN,0.0
Agrigento,PARATION-ETILE,0.0
Agrigento,PARATION-METILE,0.011
Agrigento,PENCICURON,0.0
Agrigento,PENCONAZOLO,0.1969999999999999
Agrigento,PENDIMETALIN,0.0
Agrigento,PICLORAM,0.006
Agrigento,PICOXISTROBIN,0.0
Agrigento,PIMETROZINA,0.0
Agrigento,PINOXADEN,0.0
Agrigento,PIRACLOSTROBIN,0.0
Agrigento,PIRAZOFOS,0.0
Agrigento,PIRIMETANIL,0.01
Agrigento,PIRIMICARB,0.013
Agrigento,PIRIMIFOS-METILE,0.0
Agrigento,PROCIMIDONE,0.0
Agrigento,PROCLORAZ,0.0
Agrigento,PROMETRINA,0.0
Agrigento,PROPAMOCARB,0.015
Agrigento,PROPANIL,0.0
Agrigento,PROPARGITE,0.0
Agrigento,PROPICONAZOLO,0.0
Agrigento,PROPIZAMIDE,0.0
Agrigento,PROPOXUR,0.0
Agrigento,PROPOXYCARBAZONE SODIO,0.0
Agrigento,PYRIPROXYFEN,0.0
Agrigento,QUIZALOFOP-ETILE-D-ISOMERO,0.0
Agrigento,RIMSULFURON,0.0
Agrigento,ROTENONE,0.0
Agrigento,SIMAZINA,0.0
Agrigento,SPIRODICLOFEN,0.0
Agrigento,SPIROTETRAMMATO,0.0
Agrigento,SPIROXAMINA,0.008
Agrigento,TEBUCONAZOLO,0.035
Agrigento,TEBUFENPIRAD,0.0
Agrigento,TEFLUBENZURON,0.0
Agrigento,TEFLUTRIN,0.013
Agrigento,TERBUTRINA,0.011
Agrigento,TETRACONAZOLO,0.02
Agrigento,TETRADIFON,0.0
Agrigento,THIENCARBAZONE METILE,0.0
Agrigento,TIABENDAZOLO,0.002
Agrigento,TIACLOPRID,0.005
Agrigento,TIAMETOXAM,0.009
Agrigento,TIFENSULFURON-METILE,0.0
Agrigento,TIODICARB,0.0
Agrigento,TIOPHANATE-METHYL,0.005
Agrigento,TOLCLOFOS-METILE,0.0
Agrigento,TOLILFLUANIDE,0.0
Agrigento,TRANS-CHLORDANE,0.001
Agrigento,TRIADIMEFON,0.0
Agrigento,TRIADIMENOL,0.0
Agrigento,TRIASULFURON,0.0
Agrigento,TRIAZAMATE,0.0
Agrigento,TRIAZOFOS,0.0
Agrigento,TRIBENURON-METILE,0.0
Agrigento,TRICLOPIR,0.0
Agrigento,TRICLORFON,0.0
Agrigento,TRIFLOXISTROBIN,0.0
Agrigento,TRIFLUMURON,0.0
Agrigento,TRIFLURALIN,0.0
Agrigento,ZOXAMIDE,0.0
Ancona,"1,2-DICLOROETANO",0.0
Ancona,"1,4 DICLOROBENZENE",0.0
Ancona,"2,4-DICLOROFENOLO",0.0
Ancona,ACLONIFEN,0.046
Ancona,ALACLOR,0.0
Ancona,ANTIPARASSITARI CICLODIENE,0.0
Ancona,ATRAZINA,0.0
Ancona,CHINOSSIFEN,0.0
Ancona,CIPERMETRINA,0.0
Ancona,CLORPIRIFOS,0.0
Ancona,DICOFOL,0.0
Ancona,DIMETOATO,0.13
Ancona,DIURON,0.07
Ancona,ESACLOROBENZENE,0.0
Ancona,FENITROTION,0.0
Ancona,FENTION,0.0
Ancona,ISOPROTURON,0.0
Ancona,LINURON,0.0
Ancona,MALATION,0.0
Ancona,MCPA,0.0
Ancona,MECOPROP,0.0
Ancona,METOLACLOR,0.0
Ancona,NAFTALENE,0.0
Ancona,PENTACLOROBENZENE,0.0
Ancona,PENTACLOROFENOLO,0.0
Ancona,SIMAZINA,0.0
Ancona,TERBUTILAZINA,0.0
Ancona,TERBUTRINA,0.023
Ancona,TRIFLURALIN,0.16
Arezzo,"2,4-DICLOROFENOSSIACETICO ACIDO",0.076
Arezzo,? CIPERMETRINA e isomeri,0.0
Arezzo,ACETAMIPRID,0.023
Arezzo,ACETOCLOR,0.0
Arezzo,ACLONIFEN,0.0
Arezzo,ALACLOR,0.0
Arezzo,AMETOCTRADIN,0.0
Arezzo,AMPA,2.79
Arezzo,ATRAZINA,0.0
Arezzo,ATRAZINA DESETIL,0.016
Arezzo,ATRAZINA DESISOPROPIL,0.009
Arezzo,AZOSSISTROBINA,0.019
Arezzo,BENALAXIL,0.008
Arezzo,BOSCALID,0.063
Arezzo,BUPIRIMATE,0.0
Arezzo,CARBENDAZIM,0.009
Arezzo,CHINOSSIFEN,0.0
Arezzo,CIAZOFAMID,0.0
Arezzo,CIBUTRINA,0.0
Arezzo,CICLOXIDIM,0.019
Arezzo,CIPROCONAZOLO,0.0
Arezzo,CIPRODINIL,0.016
Arezzo,CLOMAZONE,0.036
Arezzo,CLORANTRANILIPROLO,0.011
Arezzo,CLORFENVINFOS,0.0
Arezzo,CLOROTOLURON,0.076
Arezzo,CLORPIRIFOS,0.0
Arezzo,CLORPIRIFOS-METILE,0.0
Arezzo,CLORSULFURON,0.0
Arezzo,CLOTHIANIDIN,0.008
Arezzo,DAZOMET,0.0
Arezzo,DEMETON-S-METILE,0.0
Arezzo,DICAMBA,0.0
Arezzo,DIMETENAMIDE,0.0
Arezzo,DIMETOATO,0.008
Arezzo,DIMETOMORF,0.076
Arezzo,DIURON,0.015
Arezzo,ENDOSULFAN,0.0
Arezzo,ENDOSULFAN-SOLFATO,0.0
Arezzo,ETOFUMESATE,0.0
Arezzo,ETOPROFOS,0.0
Arezzo,FENAMIDONE,0.0
Arezzo,FENAMIFOS,0.0
Arezzo,FENHEXAMID,0.0
Arezzo,FENPROPIDIN,0.0
Arezzo,FENPYRAZAMINE,0.008
Arezzo,FLUDIOXONIL,0.0
Arezzo,FLUFENACET,0.0
Arezzo,FLUOPICOLIDE,0.054
Arezzo,FLUOPYRAM,0.008
Arezzo,FLUROXIPIR,0.0
Arezzo,FLUTRIAFOL,0.0
Arezzo,GLIFOSATE,0.204
Arezzo,IMIDACLOPRID,0.043
Arezzo,IPROVALICARB,0.0
Arezzo,ISOPROTURON,0.0
Arezzo,ISOXABEN,0.0
Arezzo,ISOXAFLUTOLE,0.498
Arezzo,LENACIL,0.0
Arezzo,LINURON,0.0
Arezzo,MALATION,0.0
Arezzo,MANDIPROPAMID,0.01
Arezzo,MCPA,0.0
Arezzo,MEPANIPYRIM,0.0
Arezzo,METALAXIL-M,0.253
Arezzo,METAMITRON,0.0069999999999999
Arezzo,METAZACLOR,0.022
Arezzo,METOSSIFENOZIDE,0.006
Arezzo,METRIBUZIN,0.013
Arezzo,NAPROPAMIDE,0.0
Arezzo,OXADIAZON,0.0
Arezzo,OXIFLUORFEN,0.005
Arezzo,PENCONAZOLO,0.0
Arezzo,PENDIMETALIN,0.031
Arezzo,PETOXAMIDE,0.008
Arezzo,PICOXISTROBIN,0.0
Arezzo,PINOXADEN,0.0
Arezzo,PIRACLOSTROBIN,0.0
Arezzo,PIRIMETANIL,0.0
Arezzo,PIRIMICARB,0.0
Arezzo,PROCLORAZ,0.0
Arezzo,PROPAZINA,0.031
Arezzo,PROPICONAZOLO,0.006
Arezzo,PROPIZAMIDE,0.0
Arezzo,PROPOXUR,0.0
Arezzo,PROPOXYCARBOZONE,0.0
Arezzo,S-METOLACLOR,0.745
Arezzo,SIMAZINA,0.054
Arezzo,SPIROTETRAMMATO,0.006
Arezzo,SPIROXAMINA,0.0
Arezzo,TEBUCONAZOLO,0.036
Arezzo,TEBUFENOZIDE,0.0
Arezzo,TETRACONAZOLO,0.024
Arezzo,TIACLOPRID,0.0
Arezzo,TIAMETOXAM,0.0
Arezzo,TOLCLOFOS-METILE,0.0
Arezzo,TRIBENURON-METILE,0.242
Arezzo,TRICICLAZOLO,0.0
Arezzo,TRIFLURALIN,0.0
Arezzo,ZOXAMIDE,0.0
Ascoli Piceno,"1,2-DICLOROETANO",0.0
Ascoli Piceno,"1,4 DICLOROBENZENE",0.0
Ascoli Piceno,"2,4-DICLOROFENOLO",0.0
Ascoli Piceno,ACLONIFEN,0.0
Ascoli Piceno,ALACLOR,0.0
Ascoli Piceno,ANTIPARASSITARI CICLODIENE,0.0
Ascoli Piceno,ATRAZINA,0.0
Ascoli Piceno,CHINOSSIFEN,0.0
Ascoli Piceno,CIPERMETRINA,0.0
Ascoli Piceno,CLORPIRIFOS,0.0
Ascoli Piceno,DICOFOL,0.0
Ascoli Piceno,DIMETOATO,0.13
Ascoli Piceno,DIURON,0.03
Ascoli Piceno,ESACLOROBENZENE,0.0
Ascoli Piceno,FENITROTION,0.0
Ascoli Piceno,FENTION,0.0
Ascoli Piceno,ISOPROTURON,0.0
Ascoli Piceno,LINURON,0.0
Ascoli Piceno,MALATION,0.0
Ascoli Piceno,MCPA,0.0
Ascoli Piceno,MECOPROP,0.0
Ascoli Piceno,METOLACLOR,0.0
Ascoli Piceno,NAFTALENE,0.0
Ascoli Piceno,PENTACLOROBENZENE,0.0
Ascoli Piceno,PENTACLOROFENOLO,0.0
Ascoli Piceno,SIMAZINA,0.0
Ascoli Piceno,TERBUTILAZINA,0.0
Ascoli Piceno,TERBUTRINA,0.023
Ascoli Piceno,TRIFLURALIN,0.16
Bari,"1,3-DICLOROPROPENE",0.0
Bari,1-ACIDO NAFTILACETICO,0.0
Bari,"2,4,5-TRICLOROFENOLO",0.0
Bari,"2,4,5-TRICLOROFENOSSIACETICO ACIDO",0.0
Bari,"2,4-DICLOROFENOLO",0.0
Bari,"2,4-DICLOROFENOSSIACETICO ACIDO",0.0
Bari,"3,4-DICLOROANILINA",0.0
Bari,ACETAMIPRID,0.0
Bari,ACLONIFEN,0.0
Bari,ALACLOR,0.0
Bari,AMPA,0.75
Bari,ATRAZINA,0.0
Bari,ATRAZINA DESETIL,0.0
Bari,AZINFOS-ETILE,0.0
Bari,AZINFOS-METILE,0.0
Bari,AZOSSISTROBINA,0.06
Bari,BENSULFURON-METILE,0.0
Bari,BENTAZONE,0.0
Bari,BIFENOX,0.0
Bari,BOSCALID,0.0
Bari,BROMOXINIL-FENOLO,0.0
Bari,BUPIRIMATE,0.0
Bari,CARBENDAZIM,0.0
Bari,CHINOSSIFEN,0.0
Bari,CIALOTRINA-LAMBDA,0.0
Bari,CIBUTRINA,0.0
Bari,CIPERMETRINA,0.0
Bari,CIPROCONAZOLO,0.0
Bari,CIPRODINIL,0.0
Bari,CLODINAFOP-PROPARGIL,0.0
Bari,CLOPYRALID,0.0
Bari,CLORANTRANILIPROLO,0.0
Bari,CLORFENVINFOS,0.0
Bari,CLORIDAZON,0.0
Bari,CLOROTALONIL,0.0
Bari,CLOROTOLURON,0.0
Bari,CLORPIRIFOS,0.0
Bari,CLORPIRIFOS-METILE,0.0
Bari,DAZOMET,0.0
Bari,"DDT, pp",0.0
Bari,DELTAMETRINA,0.0
Bari,DEMETON-O,0.0
Bari,DICAMBA,0.0
Bari,DICLORVOS,0.0
Bari,DICOFOL,0.0
