Comune,Livello di contaminazione,count
abbiategrasso,Entro i limiti,2
acerenza,Entro i limiti,1
acerno(sa),Non quantificabile,1
acerra(na),Superiore ai limiti,1
acqualagna,Non quantificabile,1
acquanegra sul chiese,Superiore ai limiti,1
acquapendente,Non quantificabile,1
acquasparta,Entro i limiti,1
adria,Entro i limiti,2
adria,Superiore ai limiti,2
agliana,Non quantificabile,1
agrigento,Superiore ai limiti,1
agropoli(sa),Non quantificabile,1
agugliano,Non quantificabile,1
ailano(ce),Non quantificabile,1
airola(bn),Non quantificabile,1
alano di piave,Non quantificabile,1
alba adriatica,Non quantificabile,2
albanella(sa),Entro i limiti,1
albano di lucania,Non quantificabile,2
albaredo d'adige,Non quantificabile,1
albenga,Entro i limiti,1
albettone,Superiore ai limiti,1
albinea,Non quantificabile,1
albino,Non quantificabile,1
aldeno,Entro i limiti,1
alessandria,Superiore ai limiti,3
alfonsine,Entro i limiti,1
alfonsine,Superiore ai limiti,2
aliano,Non quantificabile,2
alife(ce),Entro i limiti,1
alife(ce),Superiore ai limiti,2
alleghe,Non quantificabile,1
alpago,Non quantificabile,1
alta val tidone,Non quantificabile,1
alzano lombardo,Entro i limiti,1
amandola,Non quantificabile,1
amblar-don,Entro i limiti,1
anagni,Non quantificabile,1
andretta (av),Non quantificabile,1
angolo terme,Non quantificabile,1
anguillara veneta,Entro i limiti,2
annone veneto,Superiore ai limiti,1
anversa degli abruzzi,Non quantificabile,1
anzi,Non quantificabile,3
anzola dell'emilia,Superiore ai limiti,1
apecchio,Non quantificabile,1
apice(bn),Superiore ai limiti,2
aprica,Non quantificabile,1
apricena,Superiore ai limiti,1
aprilia,Entro i limiti,1
arco,Non quantificabile,1
arcole,Non quantificabile,1
arcugnano,Non quantificabile,1
ardea,Non quantificabile,2
ardenno,Entro i limiti,1
ardesio,Non quantificabile,1
arena po,Superiore ai limiti,1
arezzo,Superiore ai limiti,3
argenta,Entro i limiti,1
argenta,Non quantificabile,1
argenta,Superiore ai limiti,4
ariano nel polesine,Entro i limiti,1
arianoirpino(av),Non quantificabile,1
arianoirpino(av),Superiore ai limiti,1
arquata del tronto,Non quantificabile,1
arre,Non quantificabile,1
arsiè,Non quantificabile,2
arvier,Non quantificabile,1
arzago dadda,Superiore ai limiti,1
arzignano,Non quantificabile,1
ascoli piceno,Non quantificabile,3
ascoli satriano,Superiore ai limiti,1
asigliano veneto,Superiore ai limiti,1
asolo,Entro i limiti,1
asti,Entro i limiti,4
asti,Superiore ai limiti,2
atella,Non quantificabile,3
attigliano,Superiore ai limiti,1
auditore,Non quantificabile,1
auronzo di cadore,Non quantificabile,2
avezzano,Entro i limiti,1
avio,Entro i limiti,1
avio,Non quantificabile,1
aymavilles,Non quantificabile,1
azzano mella,Superiore ai limiti,1
badia polesine,Superiore ai limiti,1
bagnara di romagna,Non quantificabile,1
bagni di lucca,Non quantificabile,1
bagnolo s. vito,Superiore ai limiti,1
bagnone,Non quantificabile,2
balvano,Entro i limiti,1
baranzate,Superiore ai limiti,2
barbania,Superiore ai limiti,1
barberino tavarnelle,Entro i limiti,3
barge,Entro i limiti,1
barghe,Non quantificabile,1
baricella,Entro i limiti,1
barletta,Superiore ai limiti,1
barzana,Entro i limiti,1
basaluzzo,Entro i limiti,1
basciano,Non quantificabile,1
baselga di pinè,Non quantificabile,2
bassano del grappa,Non quantificabile,1
bassignana,Superiore ai limiti,1
bastia mondovì,Non quantificabile,1
battaglia terme,Entro i limiti,1
battaglia terme,Superiore ai limiti,2
battipaglia(sa),Superiore ai limiti,1
belforte del chienti,Non quantificabile,2
bellagio,Non quantificabile,1
bellano,Non quantificabile,1
bellaria - igea marina,Superiore ai limiti,1
belluno,Non quantificabile,2
belmonte piceno,Non quantificabile,1
bene lario,Non quantificabile,1
benevento(bn),Entro i limiti,1
benevento(bn),Non quantificabile,1
benevento(bn),Superiore ai limiti,2
berbenno,Non quantificabile,2
bereguardo,Entro i limiti,1
bergamo,Entro i limiti,1
bernalda,Non quantificabile,1
bettona,Superiore ai limiti,3
bevagna,Superiore ai limiti,2
bevilacqua,Entro i limiti,1
bibbiena,Superiore ai limiti,1
bientina,Entro i limiti,1
bientina,Non quantificabile,1
bivona,Non quantificabile,1
blera,Entro i limiti,1
boffalora d'adda,Non quantificabile,1
bojano,Non quantificabile,1
bolzano,Non quantificabile,1
bolzano vicentino,Non quantificabile,1
bomarzo,Non quantificabile,1
bomporto,Entro i limiti,1
bonate sopra,Superiore ai limiti,1
bonate sotto,Non quantificabile,1
bondeno,Entro i limiti,1
bondeno,Superiore ai limiti,1
boretto,Superiore ai limiti,1
borgo d'anaunia,Non quantificabile,1
borgo san lorenzo,Entro i limiti,1
borgo valsugana,Non quantificabile,2
borgoforte,Superiore ai limiti,3
borgolavezzaro,Superiore ai limiti,1
borgonovo val tidone,Non quantificabile,1
borriana,Entro i limiti,1
bosaro,Entro i limiti,1
bosaro,Superiore ai limiti,1
bovegno,Superiore ai limiti,1
bovino,Superiore ai limiti,1
bovolenta,Superiore ai limiti,1
brandizzo,Non quantificabile,1
brandizzo,Superiore ai limiti,1
brebbia,Superiore ai limiti,1
breganze,Non quantificabile,1
brembate sopra,Non quantificabile,1
brentino belluno,Entro i limiti,1
brenzone sul garda,Non quantificabile,1
brescello,Superiore ai limiti,1
brescia,Superiore ai limiti,1
bressana bottarone,Superiore ai limiti,1
brindisi,Entro i limiti,2
brindisi,Superiore ai limiti,2
brindisi di montagna,Non quantificabile,1
briona,Superiore ai limiti,1
briosco,Superiore ai limiti,1
brisighella,Non quantificabile,1
brisighella,Superiore ai limiti,2
brissogne,Non quantificabile,1
brivio,Non quantificabile,1
brunico,Non quantificabile,1
bruno,Superiore ai limiti,1
bruzolo,Entro i limiti,1
buccino(sa),Entro i limiti,1
bulgarograsso,Superiore ai limiti,1
buonconvento,Entro i limiti,1
buronzo,Superiore ai limiti,1
buti,Entro i limiti,1
buti,Non quantificabile,2
caccamo,Entro i limiti,1
cadoneghe,Entro i limiti,1
cagli,Non quantificabile,1
cagnano varano,Non quantificabile,1
caivano(na),Superiore ai limiti,1
calci,Non quantificabile,4
calcinaia,Entro i limiti,1
calcinaia,Non quantificabile,1
calcinaia,Superiore ai limiti,1
caldaro sulla strada del vino,Entro i limiti,1
caldaro sulla strada del vino,Non quantificabile,1
caldogno,Entro i limiti,1
calitri(av),Non quantificabile,1
calolziocorte/olginate,Non quantificabile,1
caltignaga,Superiore ai limiti,2
calvatone,Superiore ai limiti,1
camagna monf.,Entro i limiti,1
camaiore,Non quantificabile,1
cambiano,Superiore ai limiti,1
cameri,Non quantificabile,1
camisano vicentino,Entro i limiti,2
campagna lupia,Superiore ai limiti,2
